,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o,ksat2_f,thetar3_o,lambda2_f,lambda1_o,thetas1_o,lambda3_o,lambda1,ksat2,thetas1,thetas2_o,ksat1,genua3_o,genua2,genua2_f,thetas1_f,ksat3_f,lambda1_f,genua3,thetar1_o,thetar2_f,ksat1_f,ksat1_o,genua1,thetas3_f,ksat3,lambda3_f,genua2_o,thetas2_f,thetar2_o,lambda2,thetar3_f,thetar1_f
20,129.817,129.454,129.515,129.577,129.454,126.861,129.454,129.433,129.456,129.454,129.454,129.454,131.504,129.454,143.335,129.454,129.454,129.454,130.658,145.482,1158.89,129.268,129.454,129.454,129.454,129.454,129.487,129.454,129.465,129.346,129.454,129.454,166.056,129.449,127.578,129.425,127.76,61581.1,129.454,129.453,129.451,129.423,129.454,208.651,130.452,129.454,129.454,12831.4,129.454,129.454,129.454,129.454,128.906,129.447,127.432,129.454,129.454,129.454,129.454,126.875,129.454,129.454,129.454,129.451,110.584,129.454,129.451,129.452,129.454,129.454,129.452,129.454,129.454,129.454,129.624,129.454,129.424,15.6491,129.454,129.454,129.454,129.454
21,127.789,127.731,127.739,127.748,127.731,125.982,127.731,127.729,127.732,127.731,127.731,127.731,129.976,127.731,141.624,127.731,127.731,127.731,129.449,144.349,1157.31,127.736,127.731,127.731,127.731,127.731,127.765,127.731,127.733,127.526,127.731,127.731,180.521,127.67,126.386,127.715,126.235,8399.31,127.731,127.731,127.73,127.717,127.731,207.941,128.854,127.731,127.731,12831.1,127.731,127.731,127.731,127.731,127.235,127.728,126.267,127.731,127.731,127.731,127.731,125.352,127.731,127.731,127.731,127.641,108.032,127.731,127.732,127.73,127.731,127.731,127.733,127.731,127.731,127.731,127.976,127.731,127.718,13.8318,127.731,127.731,127.731,127.731
22,126.553,126.522,126.527,126.532,126.522,124.966,126.522,126.521,126.522,126.522,126.522,126.522,128.901,126.522,140.402,126.522,126.522,126.522,128.031,142.805,1156.38,126.849,126.523,126.522,126.522,126.522,126.552,126.522,126.523,126.397,126.522,126.522,161.733,126.488,125.676,126.512,125.09,61580.9,126.522,126.521,126.522,126.515,126.522,207.213,128.375,126.523,126.522,12834.0,126.522,126.522,126.522,126.522,126.196,126.521,124.973,126.522,126.522,126.522,126.522,124.272,126.522,126.522,126.522,126.47,107.113,126.522,126.519,126.448,126.522,126.522,126.521,126.522,126.522,126.522,127.419,126.522,126.515,11.8528,126.522,126.522,126.522,126.522
23,124.84,124.797,124.804,124.811,124.797,123.523,124.797,124.794,124.797,124.797,124.797,124.797,127.073,124.797,138.691,124.797,124.797,124.797,126.234,140.918,1154.73,125.305,124.797,124.797,124.797,124.797,124.831,124.797,124.798,124.716,124.797,124.797,136.021,124.776,124.319,124.79,124.027,8418.05,124.797,124.796,124.796,124.793,124.797,204.989,125.826,124.797,124.797,12830.7,124.797,124.797,124.797,124.797,124.579,124.796,123.369,124.797,124.797,124.797,124.797,122.739,124.797,124.797,124.797,124.764,105.355,124.797,124.797,124.796,124.797,124.797,124.798,124.797,124.797,124.797,124.98,124.797,124.793,10.5161,124.797,124.797,124.797,124.797
24,124.145,124.126,124.129,124.132,124.126,123.103,124.126,124.125,124.126,124.126,124.126,124.126,126.224,124.126,138.016,124.126,124.126,124.126,125.537,140.165,1154.14,124.726,124.126,124.126,124.126,124.126,124.157,124.126,124.127,124.072,124.126,124.126,130.28,124.113,123.813,124.122,123.549,61609.0,124.126,124.125,124.126,124.124,124.126,204.351,125.042,124.126,124.126,12830.7,124.126,124.126,124.126,124.126,123.974,124.126,122.679,124.126,124.126,124.126,124.126,122.123,124.126,124.126,124.126,124.107,105.554,124.126,124.123,124.125,124.126,124.126,124.125,124.126,124.126,124.126,124.262,124.126,124.124,9.72175,124.126,124.126,124.126,124.126
25,124.639,124.649,124.647,124.645,124.649,124.223,124.649,124.65,124.649,124.649,124.649,124.649,126.325,124.649,138.545,124.649,124.649,124.649,126.409,141.226,1154.61,125.1,124.649,124.649,124.649,124.649,124.681,124.649,124.643,124.477,124.649,124.649,165.601,124.568,124.09,124.645,123.905,8412.9,124.649,124.648,124.649,124.647,124.649,205.46,125.547,124.649,124.649,12830.7,124.649,124.649,124.649,124.649,124.411,124.649,123.387,124.649,124.649,124.649,124.649,122.479,124.649,124.649,124.649,124.557,105.246,124.649,124.65,124.648,124.649,124.649,124.65,124.649,124.649,124.649,124.778,124.649,124.648,10.3051,124.649,124.649,124.649,124.649
26,124.841,124.846,124.845,124.845,124.846,124.259,124.846,124.846,124.846,124.846,124.846,124.846,126.458,124.846,138.718,124.846,124.846,124.846,126.423,141.154,1154.99,125.385,124.847,124.846,124.846,124.846,124.875,124.846,124.843,124.726,124.846,124.846,157.252,124.793,124.389,124.843,123.83,61586.8,124.846,124.845,124.846,124.845,124.846,206.104,126.702,124.847,124.846,12834.9,124.846,124.846,124.846,124.846,124.678,124.846,123.487,124.846,124.846,124.846,124.846,122.656,124.846,124.846,124.846,124.786,105.499,124.846,124.843,124.768,124.846,124.846,124.845,124.846,124.846,124.846,125.738,124.846,124.845,9.67474,124.846,124.846,124.846,124.846
27,123.607,123.577,123.582,123.587,123.577,123.005,123.577,123.575,123.577,123.577,123.577,123.577,125.08,123.577,137.469,123.577,123.577,123.577,125.072,139.741,1153.66,124.163,123.577,123.577,123.577,123.577,123.61,123.577,123.574,123.491,123.577,123.577,132.276,123.54,123.329,123.575,123.142,8406.21,123.577,123.576,123.577,123.576,123.577,204.062,124.464,123.577,123.577,12830.5,123.577,123.577,123.577,123.577,123.461,123.577,122.24,123.577,123.577,123.577,123.577,121.556,123.577,123.577,123.577,123.535,103.743,123.577,123.578,123.575,123.577,123.577,123.578,123.577,123.577,123.577,123.704,123.577,123.576,9.04869,123.577,123.577,123.577,123.577
28,123.299,123.29,123.292,123.293,123.29,122.782,123.29,123.29,123.29,123.29,123.29,123.29,124.674,123.29,137.177,123.29,123.29,123.29,124.744,139.371,1153.41,123.891,123.29,123.29,123.29,123.29,123.32,123.29,123.289,123.227,123.29,123.29,128.33,123.264,123.114,123.289,122.949,61583.1,123.29,123.289,123.29,123.29,123.29,203.733,124.169,123.29,123.29,12830.4,123.29,123.29,123.29,123.29,123.206,123.29,121.932,123.29,123.29,123.29,123.29,121.302,123.29,123.29,123.29,123.263,103.845,123.29,123.287,123.289,123.29,123.29,123.289,123.29,123.29,123.29,123.414,123.29,123.29,8.69678,123.29,123.29,123.29,123.29
29,123.088,123.082,123.083,123.084,123.082,122.637,123.082,123.082,123.082,123.082,123.082,123.082,124.349,123.082,136.972,123.082,123.082,123.082,124.515,139.112,1153.23,123.685,123.082,123.082,123.082,123.082,123.116,123.082,123.081,123.034,123.082,123.082,126.287,123.063,122.953,123.081,122.808,8413.87,123.082,123.081,123.082,123.082,123.082,203.515,123.955,123.082,123.082,12830.4,123.082,123.082,123.082,123.082,123.025,123.082,121.769,123.082,123.082,123.082,123.082,121.114,123.082,123.082,123.082,123.062,103.323,123.082,123.083,123.081,123.082,123.082,123.084,123.082,123.082,123.082,123.204,123.082,123.082,8.44206,123.082,123.082,123.082,123.082
