,pr
2014-08-07,0.03076923076923077
2014-08-08,0.07692307692307693
2014-08-09,0.0923076923076923
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,0.04615384615384616
2014-08-13,6.184615384615384
2014-08-14,17.246153846153845
2014-08-15,0.0
2014-08-16,0.12307692307692308
2014-08-17,17.21538461538461
2014-08-18,0.26153846153846155
2014-08-19,0.015384615384615385
2014-08-20,0.0
2014-08-21,0.06153846153846154
2014-08-22,0.015384615384615385
2014-08-23,0.0
2014-08-24,0.0
2014-08-25,0.015384615384615385
2014-08-26,2.384615384615384
2014-08-27,4.2
2014-08-28,0.0
2014-08-29,0.18333333333333335
2014-08-30,0.016666666666666666
2014-08-31,0.0
2014-09-01,24.933333333333337
2014-09-02,0.4000000000000001
2014-09-03,32.96666666666666
2014-09-04,0.3500000000000001
2014-09-05,2.316666666666667
2014-09-06,2.15
2014-09-07,0.05000000000000001
2014-09-08,3.4
2014-09-09,0.03333333333333333
2014-09-10,0.05000000000000001
2014-09-11,0.016666666666666666
2014-09-12,0.16666666666666666
2014-09-13,0.2833333333333334
2014-09-14,0.016666666666666666
2014-09-15,0.0
2014-09-16,0.2166666666666667
2014-09-17,0.05000000000000001
2014-09-18,0.15
2014-09-19,6.983333333333333
2014-09-20,40.61666666666667
2014-09-21,7.683333333333334
2014-09-22,0.46666666666666673
2014-09-23,0.09999999999999999
2014-09-24,0.0
2014-09-25,25.566666666666666
2014-09-26,5.7
2014-09-27,13.216666666666663
2014-09-28,2.1846153846153844
2014-09-29,4.833333333333333
2014-09-30,19.016666666666666
2014-10-01,20.816666666666666
2014-10-02,21.316666666666666
2014-10-03,0.9833333333333331
2014-10-04,0.9499999999999998
2014-10-05,0.5166666666666667
2014-10-06,0.4000000000000001
2014-10-07,0.016666666666666666
2014-10-08,0.0
2014-10-09,0.0
2014-10-10,0.0
2014-10-11,0.03333333333333333
2014-10-12,0.0
2014-10-13,0.03076923076923077
2014-10-14,0.04615384615384616
2014-10-15,0.7846153846153847
2014-10-16,0.12307692307692308
2014-10-17,0.03076923076923077
2014-10-18,22.307692307692307
2014-10-19,8.046153846153846
2014-10-20,22.938461538461542
2014-10-21,0.276923076923077
2014-10-22,0.1076923076923077
2014-10-23,0.015384615384615385
2014-10-24,0.4
2014-10-25,0.07692307692307693
2014-10-26,1.4
2014-10-27,2.6923076923076925
2014-10-28,0.0
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,0.04615384615384615
2014-11-01,0.015384615384615385
2014-11-02,7.4
2014-11-03,0.2615384615384616
2014-11-04,0.04615384615384616
