field_1,codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao,cordy,cordx
"2914","25464915",P,PIRAQUARA - Vila Mariana,T,86,4119509,,-25.46,-49.147,2014/07/25,2014/08/08 12:24:20,,CEMADEN,7182820.15,686304.13
"3130","25194931",P,RIO BRANCO DO SUL - Centro,T,86,4122206,,-25.193,-49.313,2014/07/25,2014/08/08 12:24:19,2020/04/07,CEMADEN,7212615.93,669983.56
"3131","25204932",P,RIO BRANCO DO SUL - Centro II,T,86,4122206,,-25.205,-49.324,2014/07/25,2014/08/08 12:24:19,,CEMADEN,7211300.64,668858.43
"3132","25174931",P,RIO BRANCO DO SUL - Rio Branco do Sul l,T,86,4122206,,-25.167,-49.309,2014/07/25,2014/08/08 12:24:24,,CEMADEN,7215490.69,670422.85
"3592","25504918",P,SÃO JOSÉ DOS PINHAIS- Afonso Pena,T,86,4125506,906,-25.503,-49.18,2014/07/25,2014/08/08 12:24:21,,CEMADEN,7178102.73,682920.42
"3593","25544909",P,SÃO JOSÉ DOS PINHAIS - Borda do Campo,T,86,4125506,906,-25.537,-49.091,2015/02/05,2015/02/06 16:38:49,,CEMADEN,7174210.97,691813.39
"3594","25674918",P,SÃO JOSÉ DOS PINHAIS - Campo Largo da Roseira,T,86,4125506,906,-25.674,-49.182,2014/07/25,2014/08/08 12:24:25,2020/04/07,CEMADEN,7159163.37,682459.68
"3595","25534921",P,SÃO JOSÉ DOS PINHAIS- Centro,T,86,4125506,906,-25.534,-49.206,2014/07/25,2014/08/08 12:24:21,,CEMADEN,7174704.34,680260.39
"3596","25484915",P,SÃO JOSÉ DOS PINHAIS- Guatupé,T,86,4125506,906,-25.484,-49.148,2014/07/27,2014/08/08 12:35:11,2020/04/06,CEMADEN,7180163.02,686166.59
"3597","25554916",P,SÃO JOSÉ DOS PINHAIS - Quississana,T,86,4125506,906,-25.548,-49.156,2014/07/25,2014/08/08 12:24:18,,CEMADEN,7173084.73,685263.92
"3598","25614917",P,SÃO JOSÉ DOS PINHAIS - São Marcos,T,86,4125506,906,-25.606,-49.169,2014/07/25,2014/08/08 12:24:23,,CEMADEN,7166677.98,683868.88
"3599","25554920",P,SÃO JOSÉ DOS PINHAIS - São Pedro,T,86,4125506,906,-25.55,-49.196,2014/07/25,2014/08/08 12:24:20,,CEMADEN,7172918.40,681241.32
"4301","25254856",H,Barragem UHE Marumbi,T,1,4116208,707,-25.4296,-48.9489,2008/11/21,2008/11/21 00:00:00,,SIMEPAR,7185895.98,706278.44
"4308","25134856",H,Capivari Montante,T,1,4104006,819,-25.2208,-48.9395,2000/03/21,2000/03/21 00:00:00,,SIMEPAR,7209012.09,707580.03
"4319","25424858",H,Guaricana,T,1,4125506,709.79,-25.7114,-48.9828,1997/06/01,1997/06/01 00:00:00,,SIMEPAR,7154730.04,702393.64
"4328","25334953",H,Porto Amazonas,T,1,4120101,0,-25.55,-49.8833,1997/06/01,1997/06/01 00:00:00,,SIMEPAR,7173677.72,612183.56
"4356","25464917",H,Canal Água Limpa,T,7,4119509,21,-25.46167,-49.17089,2023/02/07,2023/02/07 13:08:51,,SANEPAR,7182668.36,683899.12
"4360","25424911",H,Reservatório Iraí,T,7,4119509,,-25.42566,-49.1129,2015/01/01,2021/01/22 20:52:40,,SANEPAR,7186575.98,689787.23
"4361","25534939",H,Reservatório Passaúna,T,7,4101804,,-25.53133,-49.39117,2015/01/01,2021/01/26 13:49:03,,SANEPAR,7175238.35,661654.89
"4362","25504902",H,Reservatório Piraquara I,T,7,4119509,,-25.50607,-49.02783,2015/01/01,2021/01/22 20:59:17,,SANEPAR,7177544.60,698213.01
"4363","25484909",H,Reservatório Piraquara II,T,7,4119509,,-25.48855,-49.09388,2015/01/01,2021/01/22 21:09:21,,SANEPAR,7179582.18,691600.88
"4365","25264907",H,Rio Iraí,T,7,4119509,,-25.44119,-49.13267,2023/04/14,2023/04/14 11:30:00,,SANEPAR,7184883.67,687774.41
"4373","25604939",H,Araucária,T,84,4101804,869,-25.60161,-49.39793,2016/07/04,,,IAT,7167462.04,660881.57
"4374","25474924",H,Arauco / PUC,T,84,4106902,,-25.47068,-49.24675,2013/09/08,2013/08/29 00:00:00,2015/08/21,IAT,7181772.90,676257.46
"4375","25444919",H,Autódromo,T,84,4119152,,-25.44682,-49.19791,2015/09/18,,,IAT,7184350.33,681204.20
"4378","25584963",H,Balsa Nova,T,84,4102307,865,-25.58722,-49.63189,2014/02/04,,,IAT,7169319.07,637400.45
"4381","25594922",H,Cachoeira,T,84,4125506,906,-25.59018,-49.22866,2013/08/29,2013/08/29 00:00:00,,IAT,7168511.81,677900.02
"4387","25524921",H,Cidade Jardim,T,84,4125506,906,-25.52456,-49.21472,2013/08/29,2013/08/29 00:00:00,2016/06/14,IAT,7175761.82,679398.07
"4390","25484918",H,Comp.  C. Água Limpa,T,84,4125506,906,-25.48581,-49.18133,2013/09/08,2013/08/29 00:00:00,,IAT,7180008.72,682812.74
"4393","25324916",H,Embrapa,T,84,4105805,,-25.3225,-49.16233,2016/02/25,,,IAT,7198072.48,684972.03
"4399","25514921",H,ETE- Sanepar,T,84,4106902,877,-25.51781,-49.21279,2016/06/27,,,IAT,7176506.92,679602.10
"4402","25514914",H,Fazendinha,T,84,4125506,906,-25.5192,-49.14685,2013/07/14,2013/06/25 00:00:00,,IAT,7176262.20,686227.90
"4403","25534954",H,Formigas,T,84,4101804,897,-25.53778,-49.54439,2014/02/20,,2021/11/23,IAT,7174701.47,646249.34
"4409","25604951",H,Guajuvira,T,84,4101804,897,-25.60021,-49.5134,2013/07/10,2013/06/25 00:00:00,,IAT,7167752.21,649285.99
"4410","25464925",H,Horto Municipal,T,84,4106902,,-25.463,-49.2506,2017/05/15,,2021/05/05,IAT,7182628.69,675881.51
"4416","25544941",H,Olaria Pioli,T,84,4125506,906,-25.5474,-49.41009,2016/03/23,,,IAT,7173481.26,659732.20
"4419","25454917",H,Pinhais,T,84,4119152,,-25.454,-49.17154,2015/10/06,,2020/06/15,IAT,7183518.88,683845.41
"4420","25484919",H,Ponte BR 277,T,84,4106902,,-25.48353,-49.19011,2016/05/18,,,IAT,7180273.31,681933.42
