,elvstd,chanlength,chan,chanbw,changrad,avgdis,lat,gradient,chanflpn,chanman,chanbnkf,soildepth1_o,cropcoef_i,soildepth1_f,soildepth2_i,soildepth3_o,cropgrpn_f,mannings_o,soildepth3_i,soildepth2_f,mannings_f,cropgrpn_i,soildepth2_o,soildepth3_f,cropcoef_f,soildepth1_i,mannings_i,cropcoef_o,cropgrpn_o,n sei,es,ta,pr,e0,et,laif,laio,laii,genua2_o,thetar1_f,thetas3_o,thetar3_o,genua1_o,genua2_f,thetas3_f,thetar3_f,thetar1_o,thetas3,ksat2_o,lambda2,ksat3_f,thetas1,genua1_f,thetar2,genua3,lambda2_f,ksat2,lambda2_o,ksat3,ksat3_o,ksat1_o,thetas2,lambda3_o,thetar1,ksat1,thetas2_o,genua3_f,genua2,thetas1_f,lambda1,ksat1_f,thetar2_f,lambda1_o,thetar2_o,ksat2_f,genua1,lambda3_f,lambda1_f,thetar3,thetas2_f,genua3_o,lambda3,thetas1_o
20,41.0581,84.8533,53.7058,53.3466,53.673,53.7058,53.7058,54.2681,53.7058,51.2175,53.2146,53.7578,53.7011,53.7213,53.7058,54.4809,53.7058,53.4051,53.7058,53.7316,53.6324,53.7058,53.733,53.963,53.7034,53.7058,53.7058,53.7069,53.7058,53.7058,53.7058,55.7032,605.473,43.0051,53.6996,52.9076,53.3724,52.9296,53.7012,53.7058,53.7058,53.7058,53.7047,53.7031,53.7058,53.7058,53.7058,55.2894,53.724,53.7058,53.7058,53.7058,53.7052,61117.5,53.1343,53.7091,53.7058,53.7084,54.1034,53.7058,53.7058,53.7058,53.7058,2909.93,53.7058,54.0447,53.7058,53.7058,55.3789,53.7058,53.7056,53.7058,53.7043,53.7058,53.7178,53.7058,53.7058,53.705,320659.0,53.8092,53.7058,53.8081,59.024
21,36.5673,78.1156,48.4002,48.8947,47.3652,48.4002,48.4002,47.393,48.4002,47.9326,49.0824,48.4501,48.3951,48.415,48.4002,49.1907,48.4002,48.1138,48.4002,48.4259,48.3274,48.4002,48.4374,48.6626,48.3978,48.4002,48.4002,48.4009,48.4002,48.4002,48.4002,47.2131,477.908,41.1669,48.3927,47.5518,48.0593,47.5876,48.3948,48.4002,48.4002,48.4002,48.3991,48.3975,48.4002,48.4002,48.4002,50.0406,48.4175,48.4002,48.4002,48.4002,48.3996,61109.2,47.842,48.4032,48.4002,48.4014,48.7679,48.4002,48.4002,48.4002,48.4002,2901.6,48.4002,46.0855,48.4002,48.4002,49.7572,48.4002,48.4,48.4002,48.3987,48.4002,48.4116,48.4002,48.4002,48.3994,116728.0,47.8268,48.4002,48.4939,52.4102
22,33.0607,71.3084,42.5363,44.0394,40.662,42.5363,42.5363,41.0752,42.5363,44.2335,44.3851,42.5841,42.5309,42.5504,42.5363,43.3384,42.5363,42.2781,42.5363,42.5625,42.4674,42.5363,42.5876,42.8026,42.5337,42.5363,42.5363,42.5366,42.5363,42.5363,42.5363,41.9488,399.227,38.2979,42.5273,41.675,42.197,41.6985,42.5301,42.5363,42.5363,42.5363,42.5352,42.5335,42.5363,42.5363,42.5363,44.2265,42.5527,42.5363,42.5363,42.5363,42.5357,61103.2,41.9926,42.5389,42.5363,42.5361,42.8759,42.5363,42.5363,42.5363,42.5363,2895.75,42.5363,38.259,42.5363,42.5363,43.4663,42.5363,42.5361,42.5363,42.5347,42.5363,42.5472,42.5363,42.5363,42.5355,320594.0,41.4473,42.5363,42.6217,44.8553
23,30.0222,66.2521,38.3046,40.5259,36.1963,38.3046,38.3046,37.0607,38.3046,41.8218,40.9556,38.3506,38.2989,38.3182,38.3046,39.1194,38.3046,38.0757,38.3046,38.3312,38.2401,38.3046,38.3683,38.5752,38.3019,38.3046,38.3046,38.3045,38.3046,38.3046,38.3046,37.9063,354.608,35.6984,38.2942,37.4593,37.9717,37.4805,38.2977,38.3046,38.3046,38.3046,38.3034,38.3017,38.3046,38.3046,38.3046,40.0476,38.3202,38.3046,38.3046,38.3046,38.304,61100.0,37.7731,38.3068,38.3046,38.3031,38.6199,38.3046,38.3046,38.3046,38.3046,2890.94,38.3046,32.7848,38.3046,38.3046,38.878,38.3046,38.3044,38.3046,38.303,38.3046,38.315,38.3046,38.3046,38.3038,116716.0,36.8778,38.3046,38.3826,39.2823
24,28.1261,63.0724,36.3429,38.7518,34.6298,36.3429,36.3429,35.7455,36.3429,40.8614,39.1843,36.3875,36.337,36.3561,36.3429,37.1756,36.3429,36.1294,36.3429,36.3689,36.2803,36.3429,36.4107,36.6196,36.3401,36.3429,36.3429,36.3426,36.3429,36.3429,36.3429,36.296,393.95,34.0441,36.3317,35.5207,36.0165,35.5411,36.3356,36.3429,36.3429,36.3429,36.3418,36.34,36.3429,36.3429,36.3429,38.1505,36.3579,36.3429,36.3429,36.3429,36.3424,61098.7,35.8192,36.3448,36.3429,36.3406,36.6384,36.3429,36.3429,36.3429,36.3429,2891.53,36.3429,30.0051,36.3429,36.3429,36.8032,36.3429,36.3428,36.3429,36.3414,36.3429,36.3529,36.3429,36.3429,36.3422,320594.0,34.6834,36.3429,36.4146,36.9723
25,26.5483,59.5506,33.8193,36.2024,32.3898,33.8193,33.8193,33.1086,33.8193,39.0181,36.6671,33.8626,33.8133,33.8321,33.8193,34.669,33.8193,33.6257,33.8193,33.8456,33.7597,33.8193,33.8955,34.1017,33.8164,33.8193,33.8193,33.8187,33.8193,33.8193,33.8193,33.743,355.639,32.3592,33.8072,32.9596,33.4977,32.9723,33.8115,33.8193,33.8193,33.8193,33.8181,33.8163,33.8193,33.8193,33.8193,35.691,33.8337,33.8193,33.8193,33.8193,33.8187,61095.8,33.303,33.8209,33.8193,33.8162,34.0966,33.8193,33.8193,33.8193,33.8193,2888.99,33.8193,26.7577,33.8193,33.8193,34.0705,33.8193,33.8191,33.8193,33.8177,33.8193,33.8289,33.8193,33.8193,33.8185,116717.0,31.9321,33.8193,33.8849,33.7575
26,24.9558,56.2998,31.6145,33.9034,30.3464,31.6145,31.6145,31.0012,31.6145,37.1897,34.3586,31.6565,31.6084,31.6269,31.6145,32.4795,31.6145,31.4398,31.6145,31.6408,31.558,31.6145,31.6969,31.9021,31.6115,31.6145,31.6145,31.6137,31.6145,31.6145,31.6145,31.4727,333.768,30.6495,31.6018,30.7585,31.2999,30.7655,31.6065,31.6145,31.6145,31.6145,31.6134,31.6115,31.6145,31.6145,31.6145,33.5475,31.6284,31.6145,31.6145,31.6145,31.614,61094.7,31.106,31.6159,31.6145,31.6108,31.8747,31.6145,31.6145,31.6145,31.6145,2888.31,31.6145,24.1918,31.6145,31.6145,31.7085,31.6145,31.6144,31.6145,31.613,31.6145,31.6238,31.6145,31.6145,31.6138,320591.0,29.6021,31.6145,31.6743,31.0636
27,23.5143,53.386,29.7388,31.8965,28.5983,29.7388,29.7388,29.2273,29.7388,35.4812,32.3286,29.7795,29.7326,29.7508,29.7388,30.6176,29.7388,29.5833,29.7388,29.7651,29.6857,29.7388,29.8271,30.031,29.7357,29.7388,29.7388,29.7378,29.7388,29.7388,29.7388,29.6017,305.127,29.0897,29.7256,28.8864,29.432,28.8862,29.7305,29.7388,29.7388,29.7388,29.7377,29.7357,29.7388,29.7388,29.7388,31.7308,29.7521,29.7388,29.7388,29.7388,29.7383,61092.2,29.2384,29.7399,29.7388,29.7346,29.9827,29.7388,29.7388,29.7388,29.7388,2886.01,29.7388,22.1476,29.7388,29.7388,29.6805,29.7388,29.7386,29.7388,29.7373,29.7388,29.7477,29.7388,29.7388,29.7381,116715.0,27.6553,29.7388,29.793,28.7191
28,22.117,50.6537,27.9731,29.9982,26.9186,27.9731,27.9731,27.5476,27.9731,33.765,30.4086,28.0125,27.967,27.9847,27.9731,28.8641,27.9731,27.8357,27.9731,27.9993,27.9234,27.9731,28.066,28.2694,27.97,27.9731,27.9731,27.972,27.9731,27.9731,27.9731,27.8171,285.221,27.5311,27.9596,27.146,27.6759,27.1472,27.9647,27.9731,27.9731,27.9731,27.972,27.97,27.9731,27.9731,27.9731,30.0213,27.9859,27.9731,27.9731,27.9731,27.9726,61090.6,27.4812,27.974,27.9731,27.9685,28.2017,27.9731,27.9731,27.9731,27.9731,2885.72,27.9731,20.4012,27.9731,27.9731,27.7955,27.9731,27.973,27.9731,27.9716,27.9731,27.9817,27.9731,27.9731,27.9724,320590.0,25.8751,27.9731,28.0219,26.6075
29,20.842,48.101,26.3384,28.2399,25.349,26.3384,26.3384,25.984,26.3384,32.0925,28.6267,26.3765,26.3323,26.3496,26.3384,27.2399,26.3384,26.2172,26.3384,26.3644,26.292,26.3384,26.4344,26.6383,26.3353,26.3384,26.3384,26.3372,26.3384,26.3384,26.3384,26.1812,269.577,26.0319,26.3247,25.541,26.052,25.544,26.33,26.3384,26.3384,26.3384,26.3374,26.3353,26.3384,26.3384,26.3384,28.4402,26.3507,26.3384,26.3384,26.3384,26.3379,61088.9,25.8552,26.3391,26.3384,26.3335,26.5524,26.3384,26.3384,26.3384,26.3384,2883.66,26.3384,18.9011,26.3384,26.3384,26.0732,26.3384,26.3383,26.3384,26.337,26.3384,26.3467,26.3384,26.3384,26.3378,116715.0,24.2618,26.3384,26.382,24.7438
