,elvstd,chanlength,changrad,chanman,chanbnkf,mannings_o,pr,e0,laio,thetar1_o,thetas3,thetar2,thetar1,thetas2_o,thetas1_f,thetar2_f,thetar2_o,thetar3,thetas2_f,thetas1_o
48,163.341,192.28,153.217,185.046,168.938,163.465,10.201,170.937,163.42,163.341,330046.0,179.577,164.017,3757.22,231.082,163.341,163.341,219.899,1358.43,364.167
49,155.777,163.786,144.813,164.48,159.32,155.899,10.504,163.056,155.86,155.777,333187.0,170.373,156.306,3740.63,222.713,155.777,155.777,210.846,1344.91,354.439
50,143.387,138.645,136.825,141.08,143.886,143.484,10.4225,150.419,143.472,143.387,336953.0,156.069,143.809,3725.74,208.769,143.387,143.387,196.361,1326.59,338.541
51,122.265,109.735,122.314,112.944,120.214,122.316,10.2952,126.691,122.349,122.265,72175.3,132.141,122.525,3749.75,186.202,122.265,122.265,173.283,1330.24,314.38
52,107.464,95.1618,112.148,97.3905,104.555,107.484,9.86204,112.613,107.545,107.464,50255.2,115.915,107.664,3763.49,170.679,107.464,107.464,157.173,1339.63,298.281
53,94.9458,84.2873,102.149,85.9402,91.9943,94.9388,9.46683,98.7813,95.0226,94.9458,47639.2,102.091,95.0763,3759.46,157.913,94.9458,94.9458,143.771,1334.15,285.502
54,84.3079,75.0809,92.5424,76.4773,81.5948,84.2817,8.95469,87.5059,84.38,84.3079,47308.0,90.647,84.4012,3748.42,147.246,84.3079,84.3079,132.453,1324.1,275.006
55,77.7039,70.8347,85.7868,71.6844,75.4729,77.6691,8.41566,82.1369,77.7714,77.7039,81511.3,83.8422,77.7985,3733.45,140.838,77.7039,77.7039,125.371,1314.33,268.964
56,136.771,163.957,134.674,155.191,140.473,136.81,10.0086,143.36,136.843,136.771,294193.0,148.2,137.222,3740.05,203.662,136.771,136.771,186.798,1340.36,336.223
57,112.924,114.975,110.027,117.065,114.667,112.942,10.1299,118.473,112.995,112.924,69736.8,121.48,113.12,3735.59,179.159,112.924,112.924,161.83,1324.17,310.285
58,98.734,90.3112,98.4768,93.4018,98.1104,98.7346,9.44277,104.332,98.8005,98.734,49988.7,106.072,98.8721,3741.62,163.469,98.734,98.734,145.87,1323.83,292.664
59,87.5741,77.5941,90.5471,79.7281,85.6514,87.556,8.90755,91.1486,87.636,87.5741,47604.6,93.7539,87.6512,3735.34,151.277,87.5741,87.5741,133.309,1315.74,279.502
60,77.5359,68.2101,82.7938,69.7832,75.1986,77.5031,8.35212,80.0282,77.5932,77.5359,47303.3,82.9698,77.5794,3725.02,140.742,77.5359,77.5359,122.306,1305.6,268.706
61,68.9803,60.7788,75.4308,62.0406,66.6745,68.9366,7.80054,70.7936,69.0331,68.9803,47263.6,73.9349,69.0042,3714.25,132.027,68.9803,68.9803,113.066,1295.72,260.061
62,61.6778,54.4963,68.5529,55.5809,59.5571,61.6266,7.25337,63.0476,61.7263,61.6778,47257.9,66.3388,61.6927,3704.11,124.723,61.6778,61.6778,105.218,1286.63,252.927
63,93.8155,107.773,95.3555,102.452,95.1273,93.8019,7.46537,96.9955,93.8645,93.8155,262126.0,101.654,94.0512,3672.24,159.508,93.8155,93.8155,138.801,1279.19,290.699
64,102.469,115.326,99.5724,113.008,105.13,102.475,7.66421,107.076,102.52,102.469,298749.0,110.734,102.684,3664.82,169.365,102.469,102.469,147.846,1277.43,301.422
65,96.3353,98.1348,92.8098,99.2614,97.8106,96.3424,7.64105,101.588,96.3887,96.3353,207331.0,103.907,96.4946,3680.01,162.526,96.3353,96.3353,140.705,1285.37,293.395
66,84.5354,78.0857,83.4909,80.4563,84.0977,84.5305,7.43819,89.8662,84.5893,84.5354,62798.6,90.867,84.6257,3709.58,149.357,84.5354,84.5354,127.41,1295.16,278.674
67,88.6763,87.0705,88.5283,86.857,88.2333,88.6777,7.09208,94.7524,88.7306,88.6763,275359.0,95.4722,88.8185,3664.03,153.307,88.6763,88.6763,130.902,1267.39,282.689
68,80.1757,75.7884,81.641,76.8077,79.2128,80.1666,7.06765,86.0518,80.23,80.1757,68994.2,85.9324,80.2501,3688.02,144.423,80.1757,80.1757,121.641,1278.27,273.515
69,79.6674,77.2671,81.5774,77.4495,78.8877,79.6579,6.79418,85.8626,79.7216,79.6674,168930.0,85.4954,79.7627,3672.12,143.97,79.6674,79.6674,120.701,1269.9,273.24
70,74.2404,70.7329,76.7825,71.4446,73.3258,74.2243,6.67219,80.2772,74.294,74.2404,107178.0,79.4844,74.3017,3703.16,138.438,74.2404,74.2404,114.747,1287.83,267.632
71,188.433,243.173,172.681,227.743,197.841,188.579,11.4499,196.241,188.498,188.433,55767.9,205.461,189.282,3806.46,258.518,188.433,188.433,232.514,1400.62,394.655
72,146.464,150.379,132.416,154.382,150.587,146.569,11.2908,153.033,146.528,146.464,48312.8,157.51,146.82,3770.33,214.42,146.464,146.464,188.69,1360.68,347.169
73,127.237,115.716,120.446,119.99,126.848,127.304,10.4722,133.173,127.296,127.237,58876.8,135.63,127.471,3763.17,192.593,127.237,127.237,167.284,1348.47,322.165
74,139.277,139.059,135.319,138.007,139.041,139.35,10.4047,145.504,139.335,139.277,66415.7,148.442,139.62,3716.82,204.283,139.277,139.277,178.629,1323.38,333.905
75,119.86,111.806,120.474,113.908,118.267,119.895,10.4558,125.567,119.918,119.86,50563.9,126.081,120.0,3729.08,184.087,119.86,119.86,158.275,1320.4,312.943
76,104.318,93.3223,108.649,95.6912,101.853,104.322,9.98814,109.501,104.375,104.318,47697.7,108.773,104.366,3743.13,167.879,104.318,104.318,141.897,1325.47,296.091
77,96.943,88.8759,102.938,89.9616,94.615,96.9307,9.45177,102.462,96.9981,96.943,70987.9,100.759,96.9759,3737.02,160.398,96.943,96.943,134.06,1314.77,288.699
78,97.2541,94.6216,102.681,94.3185,95.8574,97.2374,9.02017,103.117,97.3082,97.2541,83401.0,101.127,97.3079,3681.23,161.205,97.2541,97.2541,134.307,1287.33,290.232
79,86.9736,81.5871,92.5295,82.7682,85.4988,86.94,8.71945,90.7225,87.0266,86.9736,52726.4,89.6645,86.9323,3704.12,150.887,86.9736,86.9736,123.642,1299.61,279.841
80,77.6469,70.5095,83.6356,72.037,75.9062,77.6007,8.15116,80.2584,77.6976,77.6469,47966.8,79.7682,77.573,3719.45,141.3,77.6469,77.6469,113.797,1300.42,269.964
81,69.647,62.3688,76.0453,63.7038,67.7602,69.5932,7.58443,72.648,69.6946,69.647,47341.6,71.4843,69.5646,3713.89,133.079,69.647,69.647,105.305,1295.07,261.587
82,107.191,123.438,107.439,117.59,109.062,107.183,8.11802,112.338,107.24,107.191,86665.3,113.031,107.433,3694.46,173.255,107.191,107.191,144.143,1302.37,304.837
83,91.3946,92.6987,90.8685,93.9523,92.3,91.3737,8.28207,94.9323,91.4432,91.3946,53248.3,95.0448,91.4097,3703.96,157.17,91.3946,91.3946,127.863,1298.09,287.953
84,87.3937,84.3238,87.2904,85.6755,87.3721,87.3731,7.72251,91.8519,87.4409,87.3937,91266.0,91.1095,87.4337,3703.09,152.467,87.3937,87.3937,123.113,1288.32,282.306
85,77.8373,71.1863,79.6589,72.9118,76.7284,77.8066,7.43028,81.5826,77.8827,77.8373,53695.8,80.5708,77.8052,3713.29,142.062,77.8373,77.8373,112.702,1295.21,271.047
86,69.3284,61.6902,72.9662,63.2316,67.6324,69.2899,7.00409,73.358,69.3714,69.3284,48090.5,71.5807,69.2753,3709.34,132.966,69.3284,69.3284,103.499,1294.78,261.509
87,66.0171,60.8387,70.3609,61.4018,64.4595,65.9772,6.60468,70.8262,66.0581,66.0171,77365.5,68.3313,65.9841,3701.78,129.633,66.0171,66.0171,99.8428,1286.86,258.371
88,60.0964,55.0755,64.8519,55.8595,58.6095,60.0507,6.32438,64.0725,60.1356,60.0964,52063.2,61.9475,60.0282,3695.98,123.711,60.0964,60.0964,93.6051,1281.95,252.557
89,54.4201,49.1746,59.3933,50.1144,52.9603,54.3691,5.93929,57.1197,54.4573,54.4201,47841.0,56.0504,54.3373,3693.44,117.981,54.4201,54.4201,87.5935,1279.24,246.83
90,49.1727,43.8854,54.2707,44.826,47.7215,49.118,5.53477,51.1058,49.2075,49.1727,47318.0,50.7154,49.0868,3686.56,112.656,49.1727,49.1727,82.0015,1274.07,241.488
91,53.4653,53.2966,57.4472,52.5087,52.7739,53.4185,5.14379,56.8385,53.4986,53.4653,98130.8,55.8982,53.4653,3628.56,117.646,53.4653,53.4653,86.4191,1240.59,247.246
92,51.2968,50.9806,54.4505,50.9079,50.8872,51.2513,5.067,55.2845,51.3293,51.2968,54436.5,53.5386,51.2675,3657.16,115.84,51.2968,51.2968,84.1956,1259.17,245.685
93,68.5263,77.9329,68.4334,74.9194,69.8286,68.5029,4.89895,73.6338,68.5602,68.5263,103025.0,72.6162,68.6441,3636.67,134.669,68.5263,68.5263,102.111,1250.71,265.992
94,98.9007,120.567,92.4783,115.313,103.059,98.9217,5.78237,104.684,98.9395,98.9007,114949.0,105.896,99.2067,3667.42,167.313,98.9007,98.9007,133.563,1280.51,300.694
95,82.4775,83.9769,76.4083,86.1349,84.4815,82.4846,6.15162,85.8113,82.519,82.4775,55881.4,87.082,82.5497,3689.29,149.477,82.4775,82.4775,116.095,1282.88,280.855
96,71.7289,64.5073,68.7021,67.3074,71.4885,71.723,5.8269,73.9223,71.7704,71.7289,48334.0,75.2612,71.7406,3702.87,136.834,71.7289,71.7289,103.987,1289.68,266.243
97,63.1287,54.3268,63.543,56.3012,61.6171,63.1115,5.5354,64.8188,63.1684,63.1287,47386.2,65.8522,63.1021,3698.31,126.968,63.1287,63.1287,94.3616,1286.01,255.429
98,55.8512,47.7787,58.7668,49.1317,53.9111,55.8239,5.27377,57.0277,55.8885,55.8512,47273.2,58.0087,55.7957,3691.44,119.096,55.8512,55.8512,86.4436,1279.95,247.354
99,49.5329,42.4927,53.9177,43.5489,47.5791,49.4978,4.99762,50.3991,49.5676,49.5329,47259.5,51.3529,49.4639,3684.01,112.582,49.5329,49.5329,79.7261,1273.21,240.949
100,44.1742,38.0681,49.2567,38.9611,42.3665,44.1335,4.71481,44.8443,44.2063,44.1742,47257.5,45.8044,44.0999,3675.9,107.222,44.1742,44.1742,74.0947,1265.15,235.781
101,81.1436,98.9739,80.8637,92.3675,83.0471,81.1443,5.63836,83.4601,81.1775,81.1436,169819.0,86.7952,81.3975,3657.94,147.664,81.1436,81.1436,112.752,1267.94,279.813
102,79.4895,89.6922,76.319,88.5836,81.898,79.4964,5.90705,82.3149,79.5237,79.4895,197440.0,84.2739,79.6144,3639.58,146.77,79.4895,79.4895,111.349,1253.19,279.019
103,68.6786,66.4084,66.0753,68.6623,69.4671,68.6748,5.76569,70.6099,68.7118,68.6786,63828.1,72.1496,68.6997,3666.67,134.656,68.6786,68.6786,99.6405,1262.1,265.116
104,60.6367,53.7574,60.254,55.9084,59.9422,60.6227,5.45132,61.9658,60.668,60.6367,49364.1,63.3227,60.6145,3688.82,125.193,60.6367,60.6367,90.5846,1274.72,254.295
105,53.6931,46.1388,55.5786,47.6959,52.2085,53.6702,5.15633,54.6546,53.7223,53.6931,47527.2,55.8176,53.6435,3688.5,117.346,53.6931,53.6931,82.8841,1274.13,245.874
106,47.6261,40.6567,51.1226,41.8126,45.886,47.5959,4.86874,48.3414,47.6531,47.6261,47292.9,49.3841,47.5613,3682.82,110.856,47.6261,47.6261,76.322,1269.7,239.301
107,42.3968,36.2453,46.8148,37.1768,40.6746,42.3614,4.57925,43.071,42.4217,42.3968,47405.4,43.9384,42.3295,3675.69,105.496,42.3968,42.3968,70.7681,1263.67,234.063
108,38.0622,32.7455,42.8699,33.5143,36.4767,38.0227,4.30148,38.5958,38.0851,38.0622,53892.2,39.4705,37.9913,3669.51,101.19,38.0622,38.0622,66.2088,1257.8,229.942
109,34.1998,29.4676,39.0827,30.1718,32.7642,34.1575,4.0138,34.636,34.2208,34.1998,49014.0,35.5682,34.1326,3664.39,97.4019,34.1998,34.1998,62.1588,1253.61,226.312
110,30.8515,26.5877,35.6248,27.2361,29.556,30.8075,3.73498,31.2165,30.8709,30.8515,57400.7,32.2253,30.7895,3659.57,94.1371,30.8515,30.8515,58.6371,1249.16,223.174
111,27.8776,23.9748,32.4521,24.5817,26.6998,27.8325,3.46481,28.1877,27.8953,27.8776,51790.2,29.2923,27.8227,3655.13,91.2362,27.8776,27.8776,55.4904,1245.07,220.37
