,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o,ksat2_f,thetar3_o,lambda2_f,lambda1_o,thetas1_o,lambda3_o,lambda1,ksat2,thetas1,thetas2_o,ksat1,genua3_o,genua2,genua2_f,thetas1_f,ksat3_f,lambda1_f,genua3,thetar1_o,thetar2_f,ksat1_f,ksat1_o,genua1,thetas3_f,ksat3,lambda3_f,genua2_o,thetas2_f,thetar2_o,lambda2,thetar3_f,thetar1_f
20,45.163,45.163,45.163,45.163,44.4585,46.759,45.163,45.163,45.163,45.163,45.163,45.163,45.1657,45.163,45.163,45.163,45.163,45.163,45.163,45.163,45.163,45.1698,45.0821,45.163,45.163,45.163,45.163,44.8593,45.163,45.163,45.163,25.1175,6.27534,45.6317,45.7666,45.2213,45.6206,61.2114,45.163,45.163,45.163,45.163,45.163,44.2077,44.7783,67754.4,45.163,14.3955,45.163,45.163,45.163,45.163,45.163,45.163,318.42,45.163,45.163,45.163,45.163,2443.17,45.163,45.163,45.163,45.163,129.61,45.163,45.163,45.2415,45.163,45.163,45.163,45.163,45.163,45.163,45.0603,45.163,45.163,5310.55,45.163,45.163,45.163,45.163
21,39.8901,39.8901,39.8901,39.8901,39.7736,41.0362,39.8901,39.8902,39.8901,39.8901,39.8901,39.8901,39.8898,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,39.8961,39.8113,39.8901,39.8901,39.8901,39.8901,39.5952,39.8901,39.8901,39.8901,23.6803,6.18165,40.1018,40.447,39.9438,40.3122,56.2048,39.8901,39.8901,39.8901,39.8901,39.8901,38.7794,39.5162,10595.7,39.8901,12.2487,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,314.142,39.8901,39.8901,39.8901,39.8901,2443.14,39.8901,39.8901,39.8901,39.8901,124.6,39.8901,39.8901,39.9604,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,39.7912,39.8901,39.8901,5310.56,39.8901,39.8901,39.8901,39.8901
22,36.6858,36.6858,36.6858,36.6858,36.6924,37.5755,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.6817,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.6908,36.609,36.6858,36.6858,36.6858,36.6858,36.3995,36.6858,36.6858,36.6858,22.2113,6.11574,36.7854,37.2247,36.7375,37.0933,53.2383,36.6858,36.6858,36.6858,36.6858,36.6858,35.1028,36.3223,67756.7,36.6858,10.6278,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,311.852,36.6858,36.6858,36.6858,36.6858,2433.97,36.6858,36.6858,36.6858,36.6858,121.636,36.6858,36.6858,36.7488,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.5903,36.6858,36.6858,5302.1,36.6858,36.6858,36.6858,36.6858
23,33.0633,33.0633,33.0633,33.0633,32.7661,33.7287,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,33.0565,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,33.0673,32.9884,33.0633,33.0633,33.0633,33.0633,32.7853,33.0633,33.0633,33.0633,20.7758,6.03117,33.1159,33.5591,33.1108,33.4382,49.8275,33.0633,33.0633,33.0633,33.0633,33.0633,31.282,32.7099,10629.8,33.0633,9.56107,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,309.066,33.0633,33.0633,33.0633,33.0633,2432.53,33.0633,33.0633,33.0633,33.0633,118.234,33.0633,33.0633,33.1198,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,32.9708,33.0633,33.0633,5303.76,33.0633,33.0633,33.0633,33.0633
24,29.6194,29.6194,29.6194,29.6194,29.3078,30.1195,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.6112,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.6226,29.5464,29.6194,29.6194,29.6194,29.6194,29.3494,29.6194,29.6194,29.6194,19.5833,5.94274,29.6497,30.0738,29.6629,29.963,46.5714,29.6194,29.6194,29.6194,29.6194,29.6194,27.8038,29.2757,67806.0,29.6194,8.80125,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,306.389,29.6194,29.6194,29.6194,29.6194,2429.61,29.6194,29.6194,29.6194,29.6194,114.993,29.6194,29.6194,29.67,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.5297,29.6194,29.6194,5295.05,29.6194,29.6194,29.6194,29.6194
25,27.5188,27.5188,27.5188,27.5188,27.3098,27.7071,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.5125,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.5219,27.4477,27.5188,27.5188,27.5188,27.5188,27.2566,27.5188,27.5188,27.5188,19.056,5.85592,27.5434,27.9352,27.5587,27.8336,44.6369,27.5188,27.5188,27.5188,27.5188,27.5188,26.1863,27.1847,10625.3,27.5188,9.22752,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,304.99,27.5188,27.5188,27.5188,27.5188,2426.42,27.5188,27.5188,27.5188,27.5188,113.077,27.5188,27.5188,27.5642,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.4316,27.5188,27.5188,5298.23,27.5188,27.5188,27.5188,27.5188
26,26.4158,26.4158,26.4158,26.4158,26.2515,26.6709,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.4083,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.4183,26.3466,26.4158,26.4158,26.4158,26.4158,26.1612,26.4158,26.4158,26.4158,18.8953,5.80639,26.4294,26.8359,26.4553,26.7323,43.68,26.4158,26.4158,26.4158,26.4158,26.4158,24.8503,26.0909,67773.8,26.4158,8.54039,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,304.532,26.4158,26.4158,26.4158,26.4158,2422.76,26.4158,26.4158,26.4158,26.4158,112.145,26.4158,26.4158,26.4567,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.331,26.4158,26.4158,5291.87,26.4158,26.4158,26.4158,26.4158
27,23.6141,23.6142,23.6141,23.6141,23.3737,23.8564,23.6142,23.6142,23.6141,23.6142,23.6142,23.6142,23.606,23.6142,23.6142,23.6142,23.6142,23.6142,23.6142,23.6142,23.6142,23.6161,23.5467,23.6142,23.6142,23.6142,23.6142,23.3668,23.6142,23.6142,23.6142,18.1869,5.72371,23.6222,23.999,23.6503,23.904,41.0061,23.6142,23.6142,23.6142,23.6142,23.6142,22.0552,23.2981,10617.4,23.6142,8.02871,23.6142,23.6142,23.6142,23.6142,23.6142,23.6142,302.321,23.6142,23.6142,23.6142,23.6142,2425.34,23.6142,23.6142,23.6142,23.6142,109.499,23.6142,23.6142,23.6508,23.6142,23.6142,23.6142,23.6142,23.6142,23.6142,23.5314,23.6142,23.6142,5294.35,23.6142,23.6142,23.6142,23.6142
28,21.0806,21.0806,21.0806,21.0806,20.8504,21.2918,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,21.0721,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,21.0821,21.0149,21.0806,21.0806,21.0806,21.0806,20.8402,21.0806,21.0806,21.0806,17.2221,5.64135,21.0857,21.4331,21.1138,21.3462,38.5837,21.0806,21.0806,21.0806,21.0806,21.0806,19.575,20.7731,67770.9,21.0806,7.68581,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,300.328,21.0806,21.0806,21.0806,21.0806,2416.97,21.0806,21.0806,21.0806,21.0806,107.108,21.0806,21.0806,21.1136,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,20.9999,21.0806,21.0806,5286.55,21.0806,21.0806,21.0806,21.0806
29,18.8154,18.8154,18.8154,18.8154,18.599,18.9947,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.8068,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.8165,18.7513,18.8154,18.8154,18.8154,18.8154,18.5817,18.8154,18.8154,18.8154,16.4933,5.56045,18.8188,19.1383,18.8457,19.0587,36.4143,18.8154,18.8154,18.8154,18.8154,18.8154,17.384,18.5161,10632.5,18.8154,7.42502,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,298.559,18.8154,18.8154,18.8154,18.8154,2417.0,18.8154,18.8154,18.8154,18.8154,104.973,18.8154,18.8154,18.845,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.7364,18.8154,18.8154,5289.56,18.8154,18.8154,18.8154,18.8154
