,vazao_25334953_Porto Amazonas,vazao_25584963_Balsa Nova,vazao_25604951_Guajuvira,vazao_25604939_Araucária,vazao_25594926_Ponte Do Umbarazinho,vazao_25514921_ETE- Sanepar,vazao_25484919_Ponte BR 277
2013-07-18,44.1317,31.8774,2.4046,2.3551,2.59022,11.2516,4.9819
2013-07-19,40.5102,29.3902,2.23811,2.18996,2.40352,10.3271,4.56275
2013-07-20,36.8868,26.9116,2.06197,2.01554,2.21317,9.41607,4.16763
2013-07-21,73.1004,51.5034,4.13401,4.49638,4.62815,18.2193,8.05944
2013-07-22,151.449,102.995,7.80612,8.1142,8.24894,36.6216,15.312
2013-07-23,252.12,177.184,11.2805,11.4592,14.5113,63.3122,27.887
2013-07-24,257.569,182.812,11.5143,11.3496,13.3442,65.7502,29.826
2013-07-25,200.956,145.002,9.30754,8.94995,10.4587,51.4158,23.5527
2013-07-26,168.707,121.108,7.81865,7.603,8.8884,42.9786,19.5771
2013-07-27,148.58,106.077,6.85152,6.72312,7.85805,37.7426,17.11
2013-07-28,134.536,95.6026,6.17788,6.09749,7.12292,34.1694,15.4376
2013-07-29,122.319,86.7962,5.6242,5.56291,6.48903,31.0787,14.026
2013-07-30,110.637,78.3992,5.07943,5.03032,5.87156,28.1391,12.6978
2013-07-31,100.533,71.149,4.61117,4.5695,5.33694,25.6281,11.5728
2013-08-01,91.7709,64.8671,4.21267,4.1755,4.87598,23.4558,10.5976
2013-08-02,83.8962,59.2467,3.85405,3.8196,4.46362,21.5081,9.72788
2013-08-03,77.2982,54.5371,3.5583,3.52653,4.12368,19.9132,9.02261
2013-08-04,71.822,50.6182,3.31867,3.28874,3.842,18.5775,8.43131
2013-08-05,66.802,47.0774,3.11371,3.08751,3.60004,17.2834,7.90499
2013-08-06,62.896,44.6032,3.00791,2.99991,3.47345,16.2224,7.46365
2013-08-07,58.7593,42.0674,2.87382,2.83982,3.28443,15.1432,6.94069
2013-08-08,53.8454,38.7707,2.67397,2.62835,3.04231,13.8778,6.34835
2013-08-09,49.422,35.7214,2.47908,2.43031,2.81366,12.7443,5.8247
2013-08-10,45.3251,33.0114,2.31833,2.27277,2.63025,11.6943,5.34967
2013-08-11,42.1048,30.9062,2.21041,2.17123,2.50527,10.8538,4.96412
2013-08-12,39.7234,29.4044,2.15386,2.12331,2.4351,10.2096,4.65899
2013-08-13,37.1698,27.602,2.03872,1.99418,2.27822,9.53975,4.32141
2013-08-14,33.8261,25.2373,1.87644,1.83041,2.09125,8.68909,3.93236
2013-08-15,32.2413,24.1129,1.81389,1.79274,2.04163,8.25242,3.74295
2013-08-16,47.4572,34.2268,2.35002,2.43412,3.05459,12.1018,5.40167
2013-08-17,45.8113,34.1571,2.3275,2.2671,2.8183,11.7995,5.38793
2013-08-18,38.5988,29.0344,2.00018,1.92931,2.37473,9.94722,4.56955
2013-08-19,35.4488,26.7311,1.86512,1.81293,2.21486,9.12549,4.20137
2013-08-20,35.9326,26.6738,1.87903,1.84285,2.21013,9.24784,4.21558
2013-08-21,34.0632,25.2943,1.78516,1.73065,2.06128,8.76947,3.99896
2013-08-22,30.7026,22.9843,1.62926,1.57371,1.88441,7.92253,3.63793
2013-08-23,27.9976,21.1892,1.52624,1.47409,1.76712,7.23483,3.33561
2013-08-24,25.9211,19.8515,1.46546,1.41904,1.69604,6.6679,3.07487
2013-08-25,24.5096,18.856,1.45205,1.41496,1.67689,6.17035,2.82215
2013-08-26,23.1755,17.8046,1.42484,1.38183,1.63015,5.72435,2.5271
2013-08-27,21.5115,16.4146,1.36687,1.32122,1.55664,5.26309,2.26657
2013-08-28,53.2512,37.2618,3.22713,3.52756,3.70167,12.8381,5.4331
2013-08-29,50.7205,38.0052,3.21541,3.08959,3.3246,12.5483,5.56602
