,vazao,etp,horleitura
2013-04-17,81.82241666666667,0.12843374999999999,0.0
2013-04-18,73.98255208333333,0.11378875,0.0
2013-04-19,64.06954166666667,0.11979541666666667,0.0
2013-04-20,54.995020833333335,0.13416416666666667,0.0
2013-04-21,48.8971875,0.09612749999999999,0.0
2013-04-22,44.087854166666666,0.11484166666666668,0.0
2013-04-23,40.21817708333334,0.10239083333333333,0.0
2013-04-24,37.5721875,0.11842041666666668,0.0
2013-04-25,36.57902083333333,0.10570083333333334,0.0
2013-04-26,35.3628125,0.11209666666666666,0.0
2013-04-27,34.61051041666666,0.10514125,0.0
2013-04-28,34.43809375,0.09522541666666667,0.0
2013-04-29,33.39953125,0.10879541666666666,0.0
2013-04-30,32.06009375,0.10784291666666666,0.0
2013-05-01,31.1493125,0.10118875,0.0
