,vazao,etp,horleitura,Q_fore
2015-08-07,64.21302083333333,0.1000754166666666,0.0,63.906039199039675
2015-08-08,60.606770833333336,0.10097125,0.0,61.206749404525354
2015-08-09,56.8428125,0.0969237499999999,0.0,58.8138408919478
2015-08-10,53.72645833333333,0.0991845833333333,0.0,56.67783877154068
2015-08-11,51.23322916666667,0.1247924999999999,0.0,54.76039163936956
2015-08-12,49.21510416666666,0.11119375,0.0,53.03054192476766
2015-08-13,48.2521875,0.0957570833333333,0.0,51.46262253869107
2015-08-14,46.23552083333333,0.09734625,0.0,50.035204735585985
2015-08-15,44.393125,0.0879654166666666,0.0,48.73039617887482
2015-08-16,42.923750000000005,0.0949583333333333,0.0,47.533132095861376
2015-08-17,41.6840625,0.07970125,0.0,46.43054465702872
2015-08-18,40.5896875,0.09787125,0.0,45.41161863709493
2015-08-19,39.71875,0.1300220833333333,4.4,44.54176116155401
2015-08-20,39.718125,0.1044854166666666,0.0,44.0009769555146
2015-08-21,39.05166666666667,0.1076195833333333,0.0,43.87572216044487
2015-08-22,37.63708333333333,0.10625,0.0,44.222256615813684
2015-08-23,36.3165625,0.124985,0.0,43.906845586991395
2015-08-24,36.67572916666666,0.1278175,17.8,43.240631168092904
2015-08-25,39.90104166666666,0.1364058333333333,0.8,43.75160995958079
2015-08-26,43.643125,0.0881108333333333,3.0,45.96880627249197
2015-08-27,42.2184375,0.0923004166666666,0.2,50.524952951600135
2015-08-28,47.46114583333334,0.1334104166666666,21.0,52.87262445739814
2015-08-29,53.97114583333333,0.1278504166666666,0.0,53.70011988517577
2015-08-30,56.95583333333334,0.134105,0.0,56.26269409709433
2015-08-31,50.4296875,0.0918533333333333,0.0,61.18709305284571
2015-09-01,43.0828125,0.1066879166666666,0.0,62.02151066950829
2015-09-02,38.15416666666667,0.1362408333333333,0.0,58.64425812990789
2015-09-03,35.2378125,0.1404970833333333,4.6,55.94798333667269
2015-09-04,35.6890625,0.1133408333333333,6.4,54.14086243212461
2015-09-05,47.80875,0.0983825,2.6,53.570679092377695
2015-09-06,60.20739583333333,0.1173920833333333,0.0,54.48906819972112
2015-09-07,60.40052083333333,0.1326991666666666,0.0,55.68007373074258
2015-09-08,55.641354166666666,0.0770749999999999,16.2,55.5301542231173
2015-09-09,79.18947916666666,0.0790479166666666,37.6,55.82110786663634
2015-09-10,92.19270833333331,0.0818029166666666,0.0,60.46705055933512
2015-09-11,95.740625,0.1049595833333333,26.2,73.13583051254841
2015-09-12,102.6890625,0.0776458333333333,0.2,92.63464486721705
2015-09-13,101.44427083333332,0.0821304166666666,0.0,102.3507617904078
2015-09-14,100.55364583333332,0.0804225,0.0,106.03840955883231
2015-09-15,99.63958333333332,0.1003145833333333,0.0,102.52426774223987
2015-09-16,95.709375,0.1033608333333333,0.0,92.39671719342485
2015-09-17,87.34208333333333,0.1057633333333333,0.0,84.58516406381496
2015-09-18,73.44510416666667,0.1053783333333333,0.0,78.32433495496255
2015-09-19,60.854375000000005,0.1166370833333333,8.0,73.36521056987672
2015-09-20,57.0434375,0.11669875,3.2,69.93254636000756
2015-09-21,56.51125,0.14921375,0.0,68.22756037921918
2015-09-22,53.794895833333335,0.1224420833333333,0.0,68.35067002854792
2015-09-23,48.32083333333333,0.1104241666666666,0.0,67.34521041550866
2015-09-24,43.09520833333334,0.1030241666666666,0.0,64.15039735960298
2015-09-25,39.336875,0.1157204166666666,0.0,60.78839866387618
2015-09-26,36.44322916666667,0.1285408333333333,7.0,58.06305287788105
2015-09-27,35.9471875,0.13880625,1.4,56.25082636140171
2015-09-28,44.8259375,0.0988966666666666,29.8,56.10166907742669
2015-09-29,75.8984375,0.1050283333333333,0.0,59.377912194476124
2015-09-30,79.39916666666666,0.0656304166666666,0.0,64.99575464958319
2015-10-01,81.91875,0.08621625,2.2,73.58285871886663
2015-10-02,81.06406249999999,0.1204720833333333,0.0,75.3249152089448
2015-10-03,79.21927083333334,0.1335875,25.4,71.00410200874919
2015-10-04,91.044375,0.1427175,0.8,70.2195240976459
2015-10-05,91.608125,0.1321258333333333,2.0,72.79306259853885
2015-10-06,92.36770833333333,0.11163,0.0,79.52883328145953
2015-10-07,90.16291666666666,0.11714375,0.0,80.44702517273636
2015-10-08,85.48208333333334,0.1282566666666666,0.0,75.29126803609456
2015-10-09,77.08416666666666,0.1381558333333333,4.4,70.69262547911434
2015-10-10,71.038125,0.1331275,22.4,67.4284874455931
2015-10-11,85.526875,0.1338183333333333,11.8,67.4752791278242
2015-10-12,94.17625,0.13045,25.2,72.90869465267012
2015-10-13,107.09114583333331,0.1268975,5.2,85.72591491471361
2015-10-14,105.3,0.12872875,0.0,98.85448248056434
2015-10-15,103.98854166666666,0.1089895833333333,0.0,108.10437786228763
2015-10-16,104.753125,0.0977870833333333,0.0,106.98919431069403
2015-10-17,104.14375,0.1239858333333333,0.0,97.38255707718409
2015-10-18,102.99635416666666,0.1448591666666666,4.6,88.75121939948664
2015-10-19,100.98125,0.1322158333333333,0.2,82.4271233781842
2015-10-20,96.28541666666666,0.1743625,0.0,77.92088682837357
2015-10-21,87.71489583333333,0.1397025,0.0,74.87299978012676
2015-10-22,82.49197916666667,0.17802625,48.4,72.52414906133127
2015-10-23,105.4021875,0.1670454166666667,42.0,75.14081718893539
2015-10-24,108.028125,0.14858,0.0,89.55765352990596
2015-10-25,104.05364583333332,0.1094412499999999,0.0,124.11222359958276
2015-10-26,107.67552083333334,0.1271916666666666,0.6000000000000001,156.28703865457845
2015-10-27,117.30052083333334,0.1387904166666666,0.0,149.61188555911644
2015-10-28,125.2125,0.1565366666666666,0.0,128.80788999495147
2015-10-29,124.97083333333336,0.1795270833333333,0.0,114.06117205472663
2015-10-30,119.02135416666664,0.1613708333333333,0.0,102.97056186392359
2015-10-31,111.80260416666664,0.1677279166666666,0.0,94.13629811463544
2015-11-01,107.584375,0.1630283333333333,7.000000000000001,87.0929727795286
2015-11-02,104.49583333333334,0.135155,3.0,81.99146867498054
2015-11-03,100.28489583333334,0.1887770833333333,1.2000000000000002,78.96770409433363
2015-11-04,97.67083333333332,0.1497083333333333,2.0,78.13375778153475
2015-11-05,99.93541666666664,0.16959875,16.400000000000002,77.11185487649722
2015-11-06,104.7390625,0.1566679166666666,7.4,76.13407486211327
2015-11-07,107.115625,0.1622916666666666,0.2,77.81074986572261
2015-11-08,104.85,0.205175,0.0,82.86468155258602
2015-11-09,105.5171875,0.1504991666666666,2.0,84.59717612504599
2015-11-10,107.86458333333331,0.14360875,0.0,80.36671686312096
2015-11-11,108.09322916666667,0.1729570833333333,17.799999999999997,75.85362793984167
2015-11-12,111.2078125,0.2001608333333333,3.4,74.28113268605762
2015-11-13,108.18958333333336,0.2147733333333333,0.0,75.42448842982057
2015-11-14,107.00260416666669,0.1750016666666666,2.8,79.7925924990669
2015-11-15,109.26302083333331,0.1958808333333333,6.2,80.70224370380218
2015-11-16,110.0578125,0.2032870833333333,0.2,77.31304411761622
2015-11-17,106.8390625,0.1714179166666666,3.8,75.18163323130308
2015-11-18,105.69583333333333,0.19474375,8.200000000000001,74.49831789775023
2015-11-19,105.27395833333333,0.21626125,4.4,73.43700024918132
2015-11-20,102.0984375,0.2194291666666666,12.6,73.58809688819716
2015-11-21,104.9921875,0.1890070833333333,1.6,76.25341284539505
2015-11-22,100.95677083333334,0.1970020833333333,0.0,78.7406945841579
2015-11-23,105.67604166666666,0.2411566666666666,19.6,81.12046217024078
2015-11-24,110.90833333333336,0.20065875,4.800000000000001,81.79852286947792
2015-11-25,115.25885416666668,0.1634629166666666,2.2,82.49409289831077
2015-11-26,116.82135416666668,0.1879404166666666,0.4,87.69115432471777
2015-11-27,119.65677083333333,0.1808554166666666,0.0,88.95848546835504
2015-11-28,124.05208333333331,0.1855470833333333,7.6,84.38564060953283
2015-11-29,128.75416666666666,0.1859104166666666,2.6,79.89898978686158
2015-11-30,127.30416666666667,0.2035445833333333,0.2,77.00988273808547
2015-12-01,124.44375,0.2095091666666666,1.4,76.27482699079495
2015-12-02,118.03541666666666,0.2160666666666666,0.0,74.54661197240769
