hordatahora,horleitura
2012-01-25,3.400
2012-01-26,17.000
2012-01-27,1.400
2012-01-28,0.000
2012-01-29,0.000
2012-01-30,0.000
2012-01-31,0.000
2012-02-01,0.000
2012-02-02,0.000
2012-02-03,0.000
2012-02-04,0.000
2012-02-05,0.000
2012-02-06,0.000
2012-02-07,23.400
2012-02-08,6.800
2012-02-09,1.400
2012-02-10,40.400
2012-02-11,0.600
2012-02-12,0.000
2012-02-13,22.200
2012-02-14,11.400
2012-02-15,10.400
2012-02-16,0.200
2012-02-17,0.000
2012-02-18,0.000
2012-02-19,3.000
2012-02-20,31.800
2012-02-21,2.000
2012-02-22,6.200
2012-02-23,5.400
2012-02-24,5.400
2012-02-25,2.600
2012-02-26,0.400
2012-02-27,12.200
2012-02-28,0.200
2012-02-29,0.000
2012-03-01,0.000
2012-03-02,0.000
2012-03-03,0.000
2012-03-04,0.000
2012-03-05,0.000
2012-03-06,0.000
2012-03-07,0.000
2012-03-08,0.000
2012-03-09,0.200
2012-03-10,0.000
2012-03-11,0.000
2012-03-12,0.000
2012-03-13,0.000
2012-03-14,0.200
2012-03-15,20.800
2012-03-16,1.200
2012-03-17,0.000
2012-03-18,0.000
2012-03-19,0.000
2012-03-20,0.000
2012-03-21,0.000
2012-03-22,0.400
2012-03-23,0.000
2012-03-24,0.200
2012-03-25,5.000
2012-03-26,0.000
2012-03-27,26.000
2012-03-28,0.000
2012-03-29,0.000
2012-03-30,0.000
2012-03-31,0.000
2012-04-01,1.000
2012-04-02,0.000
2012-04-03,0.000
2012-04-04,0.000
2012-04-05,0.000
2012-04-06,0.000
2012-04-07,0.000
2012-04-08,28.000
2012-04-09,1.200
2012-04-10,0.000
2012-04-11,0.000
2012-04-12,0.000
2012-04-13,8.200
2012-04-14,13.800
2012-04-15,0.000
2012-04-16,0.000
2012-04-17,0.000
2012-04-18,0.000
2012-04-19,0.000
2012-04-20,1.000
2012-04-21,3.200
2012-04-22,0.000
2012-04-23,0.000
2012-04-24,0.000
2012-04-25,17.000
2012-04-26,92.800
2012-04-27,0.400
2012-04-28,22.400
2012-04-29,0.400
2012-04-30,0.000
2012-05-01,0.000
2012-05-02,0.000
2012-05-03,0.400
2012-05-04,1.600
2012-05-05,0.200
2012-05-06,0.200
2012-05-07,0.200
2012-05-08,0.000
2012-05-09,0.200
2012-05-10,0.000
2012-05-11,13.800
2012-05-12,0.200
2012-05-13,0.000
2012-05-14,0.000
2012-05-15,0.000
2012-05-16,1.400
2012-05-17,1.600
2012-05-18,0.600
2012-05-19,0.000
2012-05-20,0.000
2012-05-21,0.000
2012-05-22,0.000
2012-05-23,0.200
2012-05-24,31.400
2012-05-25,7.200
2012-05-26,0.000
2012-05-27,0.000
2012-05-28,0.000
2012-05-29,0.000
2012-05-30,7.600
2012-05-31,13.400
2012-06-01,7.600
2012-06-02,0.200
2012-06-03,4.400
2012-06-04,115.400
2012-06-05,20.600
2012-06-06,2.600
2012-06-07,2.200
2012-06-08,2.000
2012-06-09,0.600
2012-06-10,23.800
2012-06-11,16.000
2012-06-12,0.000
2012-06-13,0.200
2012-06-14,0.000
2012-06-15,0.000
2012-06-16,0.200
2012-06-17,2.000
2012-06-18,14.200
2012-06-19,7.200
2012-06-20,7.000
2012-06-21,0.200
2012-06-22,2.000
2012-06-23,0.000
2012-06-24,0.000
2012-06-25,0.000
2012-06-26,0.000
2012-06-27,0.000
2012-06-28,0.000
2012-06-29,0.000
2012-06-30,0.000
2012-07-01,0.000
2012-07-02,0.000
2012-07-03,0.000
2012-07-04,0.000
2012-07-05,0.000
2012-07-06,13.000
2012-07-07,19.200
2012-07-08,1.400
2012-07-09,0.000
2012-07-10,0.000
2012-07-11,24.800
2012-07-12,5.800
2012-07-13,0.000
2012-07-14,0.000
2012-07-15,0.200
2012-07-16,0.600
2012-07-17,25.600
2012-07-18,2.400
2012-07-19,0.000
2012-07-20,0.000
2012-07-21,0.000
2012-07-22,0.000
2012-07-23,0.000
2012-07-24,0.000
2012-07-25,4.400
2012-07-26,0.000
2012-07-27,6.800
2012-07-28,0.200
2012-07-29,0.000
2012-07-30,3.200
2012-07-31,0.200
2012-08-01,0.200
2012-08-02,0.000
2012-08-03,0.000
2012-08-04,0.000
2012-08-05,0.000
2012-08-06,0.000
2012-08-07,0.000
2012-08-08,0.000
2012-08-09,0.000
2012-08-10,0.000
2012-08-11,0.000
2012-08-12,0.000
2012-08-13,0.000
2012-08-14,0.000
2012-08-15,0.000
2012-08-16,6.000
2012-08-17,0.000
2012-08-18,0.000
2012-08-19,0.000
2012-08-20,0.000
2012-08-21,0.000
2012-08-22,0.000
2012-08-23,0.000
2012-08-24,0.000
2012-08-25,0.000
2012-08-26,0.000
2012-08-27,2.400
2012-08-28,20.600
2012-08-29,0.000
2012-08-30,0.000
2012-08-31,0.000
2012-09-01,0.000
2012-09-02,0.000
2012-09-03,1.400
2012-09-04,1.400
2012-09-05,0.000
2012-09-06,0.000
2012-09-07,0.000
2012-09-08,0.000
2012-09-09,0.000
2012-09-10,4.600
2012-09-11,4.800
2012-09-12,0.000
2012-09-13,0.000
2012-09-14,0.000
2012-09-15,0.000
2012-09-16,0.000
2012-09-17,0.000
2012-09-18,0.000
2012-09-19,4.600
2012-09-20,0.000
2012-09-21,33.600
2012-09-22,0.000
2012-09-23,0.000
2012-09-24,0.000
2012-09-25,16.200
2012-09-26,1.400
2012-09-27,1.400
2012-09-28,1.000
2012-09-29,0.000
2012-09-30,0.000
2012-10-01,12.000
2012-10-02,0.200
2012-10-03,0.000
2012-10-04,0.400
2012-10-05,0.000
2012-10-06,0.000
2012-10-07,0.000
2012-10-08,0.000
2012-10-09,0.000
2012-10-10,0.000
2012-10-11,8.800
2012-10-12,2.600
2012-10-13,1.000
2012-10-14,0.800
2012-10-15,0.000
2012-10-16,0.000
2012-10-17,0.200
2012-10-18,0.000
2012-10-19,0.600
2012-10-20,6.200
2012-10-21,3.200
2012-10-22,23.600
2012-10-23,52.000
2012-10-24,0.200
2012-10-25,1.000
2012-10-26,17.000
2012-10-27,4.000
2012-10-28,0.400
2012-10-29,0.000
2012-10-30,0.200
2012-10-31,15.200
