hordatahora,horleitura
2011-10-29,24.400
2011-10-30,1.600
2011-10-31,0.000
2011-11-01,0.000
2011-11-02,0.000
2011-11-03,0.000
2011-11-04,0.000
2011-11-05,0.000
2011-11-06,0.000
2011-11-07,0.000
2011-11-08,0.000
2011-11-09,0.000
2011-11-10,1.000
2011-11-11,15.800
2011-11-12,0.200
2011-11-13,7.800
2011-11-14,8.400
2011-11-15,13.200
2011-11-16,0.000
2011-11-17,0.000
2011-11-18,0.000
2011-11-19,0.000
2011-11-20,0.000
2011-11-21,1.600
2011-11-22,10.200
2011-11-23,0.000
2011-11-24,0.000
2011-11-25,0.000
2011-11-26,0.400
2011-11-27,0.000
2011-11-28,0.000
2011-11-29,0.200
2011-11-30,5.400
2011-12-01,0.200
2011-12-02,0.000
2011-12-03,0.000
2011-12-04,0.000
2011-12-05,0.200
2011-12-06,0.000
2011-12-07,0.000
2011-12-08,32.200
2011-12-09,8.400
2011-12-10,0.000
2011-12-11,0.000
2011-12-12,0.600
2011-12-13,3.000
2011-12-14,9.600
2011-12-15,0.000
2011-12-16,0.000
2011-12-17,0.000
2011-12-18,0.000
2011-12-19,0.000
2011-12-20,0.000
2011-12-21,0.000
2011-12-22,1.400
2011-12-23,2.000
2011-12-24,24.400
2011-12-25,0.400
2011-12-26,0.000
2011-12-27,0.400
2011-12-28,7.800
2011-12-29,0.000
2011-12-30,2.000
2011-12-31,37.600
2012-01-01,5.800
2012-01-02,0.200
2012-01-03,0.000
2012-01-04,0.000
2012-01-05,13.000
2012-01-06,1.000
2012-01-07,0.000
2012-01-08,0.000
2012-01-09,0.000
2012-01-10,2.800
2012-01-11,2.800
2012-01-12,10.000
2012-01-13,4.200
2012-01-14,27.200
2012-01-15,1.200
2012-01-16,0.200
2012-01-17,0.000
2012-01-18,0.000
2012-01-19,0.000
2012-01-20,0.000
2012-01-21,18.600
2012-01-22,5.200
2012-01-23,10.600
2012-01-24,0.400
2012-01-25,5.400
2012-01-26,5.600
2012-01-27,0.000
2012-01-28,0.000
2012-01-29,0.000
2012-01-30,0.000
2012-01-31,0.000
2012-02-01,0.000
2012-02-02,0.000
2012-02-03,0.000
2012-02-04,0.000
2012-02-05,0.000
2012-02-06,1.000
2012-02-07,0.400
2012-02-08,0.000
2012-02-09,13.600
2012-02-10,59.200
2012-02-11,0.000
2012-02-12,0.000
2012-02-13,0.000
2012-02-14,33.600
2012-02-15,9.800
2012-02-16,0.000
2012-02-17,0.000
2012-02-18,0.000
2012-02-19,0.000
2012-02-20,31.600
2012-02-21,2.800
2012-02-22,5.600
2012-02-23,7.200
2012-02-24,14.000
2012-02-25,3.600
2012-02-26,0.000
2012-02-27,8.600
2012-02-28,3.400
2012-02-29,0.200
2012-03-01,0.000
2012-03-02,0.000
2012-03-03,0.000
2012-03-04,0.000
2012-03-05,0.000
2012-03-06,0.000
2012-03-07,0.000
2012-03-08,0.000
2012-03-09,0.000
2012-03-10,0.000
2012-03-11,0.000
