codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao
20874157.0,P,ALEGRE - Café,T,86.0,3200201.0,,-20.87,-41.571,2014-09-16,2014-09-16T18:20:13+0000,,CEMADEN
20764159.0,P,ALEGRE - Celina,T,86.0,3200201.0,,-20.761,-41.594,2014-08-06,2014-08-12T14:16:52+0000,,CEMADEN
20764153.0,P,ALEGRE - Centro,T,86.0,3200201.0,,-20.763,-41.531,2014-08-06,2014-08-12T14:16:46+0000,,CEMADEN
20764154.0,P,ALEGRE - Conceição,T,86.0,3200201.0,,-20.761,-41.536,2014-08-06,2014-08-12T14:16:53+0000,,CEMADEN
20794156.0,P,ALEGRE - Distrito de Jerusalem,T,86.0,3200201.0,,-20.793,-41.556,2015-02-06,2015-02-06T16:47:29+0000,,CEMADEN
20794155.0,P,ALEGRE - Distrito de Jerusalem,T,86.0,3200201.0,,-20.793,-41.556,2014-09-02,2014-09-02T22:28:13+0000,,CEMADEN
20764146.0,P,ALEGRE - Distrito de Rive,T,86.0,3200201.0,,-20.76,-41.457,2015-02-06,2015-02-06T16:47:41+0000,2016-04-07,CEMADEN
20764145.0,P,ALEGRE - Distrito de Rive,T,86.0,3200201.0,,-20.76,-41.457,2014-08-06,2014-08-12T14:16:53+0000,,CEMADEN
29785579.0,P,ALEGRETE - Centro,T,86.0,4300406.0,,-29.78838,-55.79419,2017-09-24,2017-09-27T17:53:05+0000,,CEMADEN
29785576.0,P,ALEGRETE - Ibirapuitã,T,86.0,4300406.0,,-29.78945,-55.76844,2017-09-24,2017-09-27T17:55:03+0000,,CEMADEN
20744157.0,P,ALEGRE - Varjão do Cotia,T,86.0,3200201.0,,-20.746,-41.571,2014-08-06,2014-08-12T14:16:44+0000,,CEMADEN
20754157.0,P,ALEGRE - Varjão do Cotia,T,86.0,3200201.0,,-20.746,-41.571,2015-02-06,2015-02-06T16:47:29+0000,,CEMADEN
21894270.0,P,ALÉM PARAÍBA - Além Paraíba,T,86.0,3101508.0,,-21.88558,-42.69955,2014-08-04,2014-08-11T13:32:45+0000,,CEMADEN
21894271.0,P,ALÉM PARAÍBA - Campo Alegre,T,86.0,3101508.0,,-21.888,-42.713,2014-08-04,2014-08-11T13:32:51+0000,,CEMADEN
21874270.0,P,ALÉM PARAÍBA - Jardim Paraíso,T,86.0,3101508.0,,-21.872,-42.698,2014-08-04,2014-08-11T13:32:47+0000,,CEMADEN
21884270.0,P,ALÉM PARÁ - Morro Santa Rosa,T,86.0,3101508.0,,-21.88,-42.7,2014-08-04,2014-08-11T13:32:30+0000,,CEMADEN
21874266.0,P,ALÉM PARÁ - São José,T,86.0,3101508.0,,-21.87,-42.663,2014-08-04,2014-08-11T13:32:47+0000,,CEMADEN
1945474.0,P,ALENQUER - Centro,T,86.0,1500404.0,,-1.9495,-54.74433,2018-03-15,2018-03-16T11:31:35+0000,,CEMADEN
1945471.0,P,ALENQUER - Independência,T,86.0,1500404.0,,-1.94158,-54.71851,2018-03-15,2018-03-16T11:31:35+0000,,CEMADEN
16094850.0,P,ALEXÂNIA - Centro,T,86.0,5200308.0,,-16.091,-48.497,2015-10-12,2015-10-13T13:18:46+0000,,CEMADEN
20644075.0,P,ALFREDO CHAVES - Centro,T,86.0,3200300.0,,-20.6341,-40.75439,2019-01-26,2019-01-27T17:01:40+0000,,CEMADEN
27694933.0,P,ALFREDO WAGNER- Centro,T,86.0,4200705.0,,-27.686,-49.33,2014-07-25,2014-08-08T12:50:35+0000,,CEMADEN
27704934.0,P,ALFREDO WAGNER - Demoras,T,86.0,4200705.0,,-27.701,-49.334,2014-07-25,2014-08-08T12:50:35+0000,,CEMADEN
27744939.0,P,ALFREDO WAGNER- Lomba alta,T,86.0,4200705.0,,-27.737,-49.387,2014-07-25,2014-08-08T12:50:35+0000,,CEMADEN
7603523.0,P,ALIANÇA - ALIANCA - APAC,T,86.0,2600708.0,,-7.60903,-35.23467,2018-03-15,2018-03-16T11:30:55+0000,,CEMADEN
1525258.0,P,ALMEIRIM - Palhal,T,86.0,1500503.0,,-1.52871,-52.58218,2018-03-15,2018-03-16T11:31:35+0000,,CEMADEN
16174069.0,P,ALMENARA - Centro,T,86.0,3101706.0,,-16.17712,-40.69693,2018-06-27,2018-06-27T15:01:38+0000,,CEMADEN
25314930.0,P,ALMIRANTE TAMANDARÉ - Centro,T,86.0,4100400.0,,-25.31,-49.298,2014-07-25,2014-08-08T12:24:18+0000,2018-11-03,CEMADEN
25314929.0,P,ALMIRANTE TAMANDARÉ - Centro,T,86.0,4100400.0,,-25.31,-49.298,2015-02-05,2015-02-06T11:36:48+0000,2020-04-07,CEMADEN
25344928.0,P,ALMIRANTE TAMANDARÉ - Jardim Bonfim,T,86.0,4100400.0,,-25.344,-49.28,2014-07-25,2014-08-08T12:24:25+0000,,CEMADEN
