,thetar3,thetas2,thetar1,thetas3,thetar2,thetas3_o,thetar3_o,thetas1_o,thetas1,thetas2_o,thetas1_f,thetar1_o,thetar2_f,thetas3_f,thetas2_f,thetar2_o,thetar3_f,thetar1_f
59,6364.13,108.372,168.848,108.376,10495.6,108.372,108.372,108.436,108.372,107.582,107.205,108.372,108.372,108.372,28.3293,108.372,108.372,108.372
60,40814.0,104.804,165.31,104.808,10492.1,104.804,104.804,104.899,104.804,104.07,103.636,104.804,104.804,104.804,24.7644,104.804,104.804,104.804
61,6362.13,102.086,162.602,102.09,10489.4,102.086,102.086,102.188,102.086,101.368,100.915,102.086,102.086,102.086,22.046,102.086,102.086,102.086
62,40813.0,99.8752,160.394,99.8795,10487.2,99.8752,99.8752,99.9727,99.8752,99.1531,98.7053,99.8752,99.8752,99.8752,19.8368,99.8752,99.8752,99.8752
63,6388.59,123.967,184.304,123.971,10512.1,123.967,123.967,123.624,123.967,122.523,122.866,123.967,123.967,123.967,43.9131,123.967,123.967,123.967
64,40837.2,125.764,186.092,125.768,10514.0,125.764,125.764,125.462,125.764,124.375,124.671,125.764,125.764,125.764,45.7074,125.764,125.764,125.764
65,6376.13,117.965,178.336,117.969,10505.8,117.965,117.965,117.779,117.965,116.76,116.851,117.965,117.965,117.965,37.9117,117.965,117.965,117.965
66,40818.7,109.367,169.794,109.372,10496.7,109.367,109.367,109.325,109.367,108.401,108.225,109.367,109.367,109.367,29.3196,109.367,109.367,109.367
67,6374.73,114.224,174.595,114.228,10502.4,114.224,114.224,114.077,114.224,113.081,113.108,114.224,114.224,114.224,34.1678,114.224,114.224,114.224
68,40819.2,108.738,169.166,108.743,10496.3,108.738,108.738,108.707,108.738,107.79,107.599,108.738,108.738,108.738,28.6886,108.738,108.738,108.738
69,6370.89,109.933,170.337,109.938,10497.9,109.933,109.933,109.855,109.933,108.906,108.809,109.933,109.933,109.933,29.8798,109.933,109.933,109.933
70,40819.0,106.975,167.407,106.98,10494.8,106.975,106.975,106.949,106.975,106.038,105.843,106.975,106.975,106.975,26.9238,106.975,106.975,106.975
71,6444.53,184.788,244.525,184.793,10570.4,184.788,184.788,183.167,184.788,181.291,183.691,184.788,184.788,184.788,104.684,184.788,184.788,184.788
72,40834.9,136.884,197.137,136.89,10523.8,136.884,136.884,136.511,136.884,135.359,135.759,136.884,136.884,136.884,56.8237,136.884,136.884,136.884
73,6371.97,122.243,182.624,122.248,10509.7,122.243,122.243,122.172,122.243,121.206,121.108,122.243,122.243,122.243,42.1867,122.243,122.243,122.243
74,40836.4,132.532,192.83,132.537,10520.6,132.532,132.532,132.288,132.532,131.209,131.437,132.532,132.532,132.532,52.4683,132.532,132.532,132.532
75,6370.5,119.841,180.284,119.846,10507.5,119.841,119.841,119.86,119.841,118.963,118.715,119.841,119.841,119.841,39.7894,119.841,119.841,119.841
76,40816.7,112.648,173.154,112.654,10500.3,112.648,112.648,112.773,112.648,111.954,111.509,112.648,112.648,112.648,32.6025,112.648,112.648,112.648
77,6366.67,111.333,171.836,111.339,10499.3,111.333,111.333,111.447,111.333,110.625,110.198,111.333,111.333,111.333,31.2862,111.333,111.333,111.333
78,40822.1,113.909,174.379,113.915,10502.1,113.909,113.909,113.945,113.909,113.075,112.785,113.909,113.909,113.909,33.8582,113.909,113.909,113.909
79,6365.35,108.356,168.882,108.362,10496.1,108.356,108.356,108.483,108.356,107.682,107.219,108.356,108.356,108.356,28.3107,108.356,108.356,108.356
80,40814.8,104.669,165.204,104.675,10492.4,104.669,104.669,104.809,104.669,104.021,103.526,104.669,104.669,104.669,24.6251,104.669,104.669,104.669
81,6362.88,102.167,162.701,102.173,10490.0,102.167,102.167,102.303,102.167,101.513,101.025,102.167,102.167,102.167,22.1236,102.167,102.167,102.167
82,40842.1,128.296,188.568,128.302,10516.3,128.296,128.296,127.949,128.296,126.835,127.205,128.296,128.296,128.296,48.2319,128.296,128.296,128.296
83,6370.54,112.817,173.275,112.823,10500.4,112.817,112.817,112.803,112.817,111.909,111.692,112.817,112.817,112.817,32.7714,112.817,112.817,112.817
