,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o
26,44.1964,44.1966,44.1966,44.1965,44.1966,44.6403,44.1966,44.1968,44.1965,44.1966,44.1966,44.1966,44.2016,44.1966,44.1966,44.1966,44.1966,44.1966,44.1966,44.1966,44.1966,44.1984,44.1948,44.1966,44.1966,44.1966,44.1966,44.1913,44.1966,44.1966,44.1966,44.5961,4.87666,44.2008,44.8244,44.2565,44.8193,44.6343,44.1966,44.1966,44.1966,44.1966,44.1966,41.6027,44.1895,20316.6,44.1966,44.1966,44.1966,44.1966
27,40.5142,40.5145,40.5144,40.5142,40.5145,41.1209,40.5145,40.5149,40.5144,40.5145,40.5145,40.5145,40.5188,40.5145,40.5145,40.5145,40.5145,40.5145,40.5145,40.5145,40.5145,40.5162,40.5128,40.5145,40.5145,40.5145,40.5145,40.5095,40.5145,40.5145,40.5145,40.9685,4.86685,40.5167,41.1185,40.5721,41.1216,40.9594,40.5145,40.5145,40.5145,40.5145,40.5145,36.9898,40.5079,6968.77,40.5145,40.5145,40.5145,40.5145
28,37.1715,37.1718,37.1717,37.1715,37.1718,37.6889,37.1718,37.1721,37.1717,37.1718,37.1718,37.1718,37.1754,37.1718,37.1718,37.1718,37.1718,37.1718,37.1718,37.1718,37.1718,37.1733,37.1702,37.1718,37.1718,37.1718,37.1718,37.167,37.1718,37.1718,37.1718,37.5899,4.85852,37.173,37.742,37.2264,37.7475,37.6233,37.1718,37.1718,37.1718,37.1718,37.1718,33.2077,37.1655,20311.3,37.1718,37.1718,37.1718,37.1718
29,34.3612,34.3614,34.3614,34.3612,34.3614,34.7685,34.3614,34.3617,34.3614,34.3614,34.3614,34.3614,34.3646,34.3614,34.3614,34.3614,34.3614,34.3614,34.3614,34.3614,34.3614,34.3628,34.3599,34.3614,34.3614,34.3614,34.3614,34.3569,34.3614,34.3614,34.3614,34.7215,4.85151,34.3622,34.8995,34.4132,34.9075,34.8193,34.3614,34.3614,34.3614,34.3614,34.3614,30.2112,34.3555,6979.27,34.3614,34.3614,34.3614,34.3614
30,32.5277,32.5278,32.5278,32.5277,32.5278,32.7294,32.5278,32.5279,32.5278,32.5278,32.5278,32.5278,32.5306,32.5278,32.5278,32.5278,32.5278,32.5278,32.5278,32.5278,32.5278,32.5291,32.5264,32.5278,32.5278,32.5278,32.5278,32.5236,32.5278,32.5278,32.5278,32.7146,4.84556,32.5283,33.0365,32.577,33.0471,32.9916,32.5278,32.5278,32.5278,32.5278,32.5278,28.5407,32.5222,20321.6,32.5278,32.5278,32.5278,32.5278
31,33.3776,33.3776,33.3776,33.3776,33.3776,32.8204,33.3776,33.3777,33.3776,33.3776,33.3776,33.3776,33.3805,33.3776,33.3776,33.3776,33.3776,33.3776,33.3776,33.3776,33.3776,33.379,33.3763,33.3776,33.3776,33.3776,33.3776,33.3736,33.3776,33.3776,33.3776,33.4251,4.84053,33.3781,33.8619,33.4247,33.8804,33.847,33.3776,33.3776,33.3776,33.3776,33.3776,30.5685,33.3723,6996.81,33.3776,33.3776,33.3776,33.3776
32,49.6272,49.6263,49.6265,49.627,49.6263,45.8773,49.6263,49.6253,49.6265,49.6263,49.6263,49.6263,49.6306,49.6263,49.6263,49.6263,49.6263,49.6263,49.6263,49.6263,49.6263,49.6279,49.625,49.6263,49.6263,49.6263,49.6263,49.6224,49.6263,49.6263,49.6263,48.9697,4.91709,53.4305,50.1237,49.6727,50.1339,50.1009,49.6263,49.6263,49.6263,49.6263,49.6263,51.7675,49.6213,20370.8,49.6263,49.6263,49.6263,49.6263
33,106.774,106.77,106.771,106.774,106.77,97.6053,106.77,106.766,106.771,106.77,106.77,106.77,106.78,106.77,106.77,106.77,106.77,106.77,106.77,106.77,106.77,106.773,106.769,106.77,106.77,106.77,106.77,106.767,106.77,106.77,106.77,103.993,7.23012,157.536,107.351,106.821,107.344,107.25,106.77,106.77,106.77,106.77,106.77,127.242,106.766,7081.99,106.77,106.77,106.77,106.77
34,81.7263,81.7276,81.7273,81.7265,81.7276,84.5568,81.7276,81.729,81.7273,81.7276,81.7276,81.7276,81.737,81.7276,81.7276,81.7276,81.7276,81.7276,81.7276,81.7276,81.7276,81.7304,81.7264,81.7276,81.7276,81.7276,81.7276,81.7242,81.7276,81.7276,81.7276,81.4706,7.48677,91.5745,82.4617,81.8005,82.4386,82.2117,81.7276,81.7276,81.7276,81.7276,81.7276,91.8461,81.7231,20417.6,81.7276,81.7276,81.7276,81.7276
35,64.3952,64.3964,64.3961,64.3954,64.3964,67.8633,64.3964,64.3976,64.396,64.3964,64.3964,64.3964,64.4044,64.3964,64.3964,64.3964,64.3964,64.3964,64.3964,64.3964,64.3964,64.399,64.3953,64.3964,64.3964,64.3964,64.3964,64.3931,64.3964,64.3964,64.3964,65.2989,6.46371,66.9325,65.1346,64.47,65.1186,64.8848,64.3964,64.3964,64.3964,64.3964,64.3964,68.2619,64.3921,7014.92,64.3964,64.3964,64.3964,64.3964
36,57.7708,57.7712,57.7711,57.7708,57.7712,59.9872,57.7712,57.7716,57.7711,57.7712,57.7712,57.7712,57.7781,57.7712,57.7712,57.7712,57.7712,57.7712,57.7712,57.7712,57.7712,57.7736,57.7701,57.7712,57.7712,57.7712,57.7712,57.7681,57.7712,57.7712,57.7712,58.433,5.58115,58.675,58.4811,57.8421,58.4672,58.2636,57.7712,57.7712,57.7712,57.7712,57.7712,58.789,57.7672,20347.1,57.7712,57.7712,57.7712,57.7712
37,62.9331,62.9332,62.9332,62.9331,62.9332,62.5626,62.9332,62.9334,62.9332,62.9332,62.9332,62.9332,62.9404,62.9332,62.9332,62.9332,62.9332,62.9332,62.9332,62.9332,62.9332,62.9358,62.9323,62.9332,62.9332,62.9332,62.9332,62.9303,62.9332,62.9332,62.9332,61.7591,5.37206,64.3076,63.6167,63.0023,63.6122,63.4295,62.9332,62.9332,62.9332,62.9332,62.9332,65.4881,62.9295,6999.1,62.9332,62.9332,62.9332,62.9332
38,72.029,72.0282,72.0284,72.0289,72.0282,70.7594,72.0282,72.0274,72.0284,72.0282,72.0282,72.0282,72.0361,72.0282,72.0282,72.0282,72.0282,72.0282,72.0282,72.0282,72.0282,72.0309,72.0273,72.0282,72.0282,72.0282,72.0282,72.0254,72.0282,72.0282,72.0282,70.4533,5.26793,74.3048,72.753,72.0958,72.732,72.5281,72.0282,72.0282,72.0282,72.0282,72.0282,76.7881,72.0246,20366.9,72.0282,72.0282,72.0282,72.0282
