,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o,ksat2_f,thetar3_o,lambda2_f,lambda1_o,thetas1_o,lambda3_o,lambda1,ksat2,thetas1,thetas2_o,ksat1,genua3_o,genua2,genua2_f,thetas1_f,ksat3_f,lambda1_f,genua3,thetar1_o,thetar2_f,ksat1_f,ksat1_o,genua1,thetas3_f,ksat3,lambda3_f,genua2_o,thetas2_f,thetar2_o,lambda2,thetar3_f,thetar1_f
20,45.1631,45.163,45.163,45.163,35.0226,43.163,45.163,45.163,45.163,45.163,45.163,45.163,45.1423,45.163,45.163,45.163,45.163,45.163,45.163,45.163,45.163,45.1597,45.8001,45.163,45.163,45.163,45.163,47.4569,45.163,45.163,45.163,44.4585,457.503,45.163,40.6836,44.6414,41.8119,701661.0,45.163,45.163,45.163,45.163,45.163,3154.08,45.7107,62.0426,45.163,76654.6,45.163,45.163,45.163,45.163,45.163,45.163,28.6726,45.163,45.163,45.163,45.163,35.0612,45.163,45.163,45.163,45.163,44.397,45.163,45.163,44.8079,45.163,45.163,45.163,45.163,45.163,45.163,45.2997,45.163,45.163,45.2714,45.163,45.163,45.163,45.163
21,39.8902,39.8901,39.8902,39.8902,30.4393,38.7587,39.8901,39.8901,39.8902,39.8901,39.8901,39.8901,39.871,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,39.8869,40.5095,39.8901,39.8901,39.8901,39.8901,42.1253,39.8901,39.8901,39.8901,39.7736,441.982,39.8901,35.7628,39.409,36.8105,92904.1,39.8901,39.8901,39.8901,39.8901,39.8901,3150.12,40.39,57.0996,39.8901,76661.0,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,24.6987,39.8901,39.8901,39.8901,39.8901,30.6285,39.8901,39.8901,39.8901,39.8901,39.1205,39.8901,39.8901,39.5471,39.8901,39.8901,39.8901,39.8901,39.8901,39.8901,40.0156,39.8901,39.8901,40.1234,39.8901,39.8901,39.8901,39.8901
22,36.6859,36.6858,36.6858,36.6858,28.0198,35.8655,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.6688,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.6826,37.2875,36.6858,36.6858,36.6858,36.6858,38.8617,36.6858,36.6858,36.6858,36.6924,401.09,36.6858,32.711,36.2192,33.7086,701666.0,36.6858,36.6858,36.6858,36.6858,36.6858,3146.03,37.1417,54.1972,36.6858,76645.3,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,22.1269,36.6858,36.6858,36.6858,36.6858,27.731,36.6858,36.6858,36.6858,36.6858,35.8799,36.6858,36.6858,36.3543,36.6858,36.6858,36.6858,36.6858,36.6858,36.6858,36.8009,36.6858,36.6858,36.9582,36.6858,36.6858,36.6858,36.6858
23,33.0633,33.0633,33.0633,33.0633,25.1836,32.494,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,33.0484,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,33.0602,33.6474,33.0633,33.0633,33.0633,33.0633,35.1798,33.0633,33.0633,33.0633,32.7661,363.051,33.0633,29.4486,32.6338,30.3374,92940.2,33.0633,33.0633,33.0633,33.0633,33.0633,3143.72,33.4787,50.851,33.0633,76650.2,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,19.5714,33.0633,33.0633,33.0633,33.0633,24.78,33.0633,33.0633,33.0633,33.0633,32.2797,33.0633,33.0633,32.743,33.0633,33.0633,33.0633,33.0633,33.0633,33.0633,33.1688,33.0633,33.0633,33.4244,33.0633,33.0633,33.0633,33.0633
24,29.6194,29.6194,29.6194,29.6194,22.7475,29.217,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.6063,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.6164,30.1861,29.6194,29.6194,29.6194,29.6194,31.6769,29.6194,29.6194,29.6194,29.3078,331.995,29.6194,26.3872,29.2257,27.1522,701715.0,29.6194,29.6194,29.6194,29.6194,29.6194,3139.35,29.9977,47.6598,29.6194,76641.4,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,17.246,29.6194,29.6194,29.6194,29.6194,22.072,29.6194,29.6194,29.6194,29.6194,28.8771,29.6194,29.6194,29.3098,29.6194,29.6194,29.6194,29.6194,29.6194,29.6194,29.7161,29.6194,29.6194,30.0783,29.6194,29.6194,29.6194,29.6194
25,27.5188,27.5188,27.5188,27.5188,21.3545,27.6008,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.506,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.5157,28.0685,27.5188,27.5188,27.5188,27.5188,29.518,27.5188,27.5188,27.5188,27.3098,345.567,27.5188,24.6612,27.1581,25.2923,92933.8,27.5188,27.5188,27.5188,27.5188,27.5188,3138.53,27.8631,45.7905,27.5188,76643.9,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,16.1952,27.5188,27.5188,27.5188,27.5188,20.6943,27.5188,27.5188,27.5188,27.5188,26.8213,27.5188,27.5188,27.2195,27.5188,27.5188,27.5188,27.5188,27.5188,27.5188,27.6075,27.5188,27.5188,28.0606,27.5188,27.5188,27.5188,27.5188
26,26.4158,26.4158,26.4158,26.4158,20.6279,26.2139,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.4046,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.4129,26.9489,26.4158,26.4158,26.4158,26.4158,28.3576,26.4158,26.4158,26.4158,26.2515,312.482,26.4158,23.585,26.0553,24.1718,701682.0,26.4158,26.4158,26.4158,26.4158,26.4158,3136.48,26.7289,44.8989,26.4158,76634.3,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,15.2374,26.4158,26.4158,26.4158,26.4158,19.5615,26.4158,26.4158,26.4158,26.4158,25.6912,26.4158,26.4158,26.1264,26.4158,26.4158,26.4158,26.4158,26.4158,26.4158,26.4972,26.4158,26.4158,26.9184,26.4158,26.4158,26.4158,26.4158
27,23.6142,23.6142,23.6142,23.6142,18.6289,23.3947,23.6142,23.6141,23.6142,23.6142,23.6142,23.6142,23.6042,23.6142,23.6142,23.6142,23.6142,23.6142,23.6142,23.6142,23.6141,23.6113,24.1309,23.6142,23.6142,23.6142,23.6142,25.4995,23.6142,23.6142,23.6142,23.3737,280.706,23.6142,21.1404,23.2839,21.5973,92926.4,23.6142,23.6142,23.6142,23.6142,23.6142,3134.95,23.8985,42.2905,23.6142,76643.3,23.6142,23.6142,23.6142,23.6142,23.6142,23.6142,13.4554,23.6142,23.6142,23.6142,23.6142,17.5207,23.6142,23.6142,23.6142,23.6142,22.9383,23.6142,23.6142,23.3342,23.6142,23.6142,23.6142,23.6142,23.6142,23.6142,23.6888,23.6142,23.6142,24.1851,23.6142,23.6142,23.6142,23.6142
28,21.0807,21.0806,21.0806,21.0806,16.6177,20.8912,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,21.0719,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,21.0779,21.5815,21.0806,21.0806,21.0806,21.0806,22.9109,21.0806,21.0806,21.0806,20.8504,256.393,21.0806,18.9537,20.7781,19.2954,701680.0,21.0806,21.0806,21.0806,21.0806,21.0806,3131.43,21.3387,39.9336,21.0806,76628.3,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,12.2376,21.0806,21.0806,21.0806,21.0806,15.731,21.0806,21.0806,21.0806,21.0806,20.4544,21.0806,21.0806,20.8097,21.0806,21.0806,21.0806,21.0806,21.0806,21.0806,21.149,21.0806,21.0806,21.7116,21.0806,21.0806,21.0806,21.0806
29,18.8154,18.8154,18.8154,18.8154,14.8697,18.6598,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.8077,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.8127,19.3008,18.8154,18.8154,18.8154,18.8154,20.5918,18.8154,18.8154,18.8154,18.599,235.247,18.8154,17.0182,18.5382,17.2601,92942.6,18.8154,18.8154,18.8154,18.8154,18.8154,3130.36,19.0493,37.8296,18.8154,76634.7,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,11.4984,18.8154,18.8154,18.8154,18.8154,14.1565,18.8154,18.8154,18.8154,18.8154,18.2365,18.8154,18.8154,18.5532,18.8154,18.8154,18.8154,18.8154,18.8154,18.8154,18.878,18.8154,18.8154,19.4981,18.8154,18.8154,18.8154,18.8154
30,16.7871,16.7871,16.7871,16.7871,13.4197,16.6603,16.7871,16.7871,16.7871,16.7871,16.7871,16.7871,16.7803,16.7871,16.7871,16.7871,16.7871,16.7871,16.7871,16.7871,16.7871,16.7845,17.2575,16.7871,16.7871,16.7871,16.7871,18.5112,16.7871,16.7871,16.7871,16.5868,216.381,16.7871,15.2977,16.5329,15.46,701691.0,16.7871,16.7871,16.7871,16.7871,16.7871,3127.34,16.9989,35.9486,16.7871,76627.4,16.7871,16.7871,16.7871,16.7871,16.7871,16.7871,10.8527,16.7871,16.7871,16.7871,16.7871,12.752,16.7871,16.7871,16.7871,16.7871,16.2526,16.7871,16.7871,16.5332,16.7871,16.7871,16.7871,16.7871,16.7871,16.7871,16.8445,16.7871,16.7871,17.5117,16.7871,16.7871,16.7871,16.7871
